embryo,site,n_resolved,n_edited,edit_rate
embryo 3,1,7882227,7562369,0.9594
embryo 3,2,7391332,6727399,0.9102
embryo 3,3,7124236,5855945,0.8220
embryo 3,4,7149406,4963360,0.6942
embryo 3,5,7433768,4387662,0.5902
embryo 3,6,7838685,4172746,0.5323
embryo 2,1,7506325,4654290,0.6200
embryo 2,2,7325911,2441699,0.3333
embryo 2,3,7438973,1135605,0.1527
embryo 2,4,7598100,499674,0.0658
embryo 2,5,7763727,305954,0.0394
embryo 2,6,7901042,253098,0.0320
embryo 6,1,26632919,93172,0.0035
embryo 6,2,27148031,39924,0.0015
embryo 6,3,27908219,28614,0.0010
embryo 6,4,28062191,22491,0.0008
embryo 6,5,28182509,21114,0.0007
embryo 6,6,28292451,22655,0.0008
