"T","blastomere","gini","tree"
7,"A",0,"main"
7,"B",0,"main"
7.1324494,"A",0.233370093845687,"main"
7.1324494,"B",0.233899082478509,"main"
7.2648988,"A",0.372517092312688,"main"
7.2648988,"B",0.354195146308191,"main"
7.3973482,"A",0.442982780065073,"main"
7.3973482,"B",0.442508361351222,"main"
7.5297976,"A",0.502378113484472,"main"
7.5297976,"B",0.498849719956591,"main"
7.662247,"A",0.540395919732226,"main"
7.662247,"B",0.533179775325926,"main"
7.7946964,"A",0.576755421782339,"main"
7.7946964,"B",0.565539096498467,"main"
7.9271458,"A",0.602800761082277,"main"
7.9271458,"B",0.584654269863165,"main"
8.0595952,"A",0.617872627775237,"main"
8.0595952,"B",0.600362493628377,"main"
8.1920446,"A",0.635704004005644,"main"
8.1920446,"B",0.612935188499223,"main"
8.324494,"A",0.648456109149341,"main"
8.324494,"B",0.622741932206882,"main"
8.4569434,"A",0.659783029141698,"main"
8.4569434,"B",0.630465806413883,"main"
8.5893928,"A",0.668851711040579,"main"
8.5893928,"B",0.636513808365902,"main"
8.7218422,"A",0.676838129628549,"main"
8.7218422,"B",0.643987138274767,"main"
8.8542916,"A",0.684120103827023,"main"
8.8542916,"B",0.649516913542711,"main"
8.986741,"A",0.68932188178119,"main"
8.986741,"B",0.655424613566495,"main"
9.1191904,"A",0.695516957611429,"main"
9.1191904,"B",0.661382969207856,"main"
9.2516398,"A",0.699756191236978,"main"
9.2516398,"B",0.667588446983471,"main"
9.3840892,"A",0.70394920338443,"main"
9.3840892,"B",0.672740995731816,"main"
9.5165386,"A",0.708365758003517,"main"
9.5165386,"B",0.677925568886791,"main"
9.648988,"A",0.712538835802472,"main"
9.648988,"B",0.68202525502105,"main"
9.7814374,"A",0.716415105473119,"main"
9.7814374,"B",0.686409878669001,"main"
9.9138868,"A",0.720245720754796,"main"
9.9138868,"B",0.691485709707066,"main"
10.0463362,"A",0.723865221669535,"main"
10.0463362,"B",0.69591390259284,"main"
10.1787856,"A",0.727143996229689,"main"
10.1787856,"B",0.701269248272531,"main"
10.311235,"A",0.731042807255273,"main"
10.311235,"B",0.706099652166103,"main"
10.4436844,"A",0.734000839404141,"main"
10.4436844,"B",0.71054736362269,"main"
10.5761338,"A",0.737005934481119,"main"
10.5761338,"B",0.714782207568458,"main"
10.7085832,"A",0.740040561455422,"main"
10.7085832,"B",0.719050663071916,"main"
10.8410326,"A",0.742922922718007,"main"
10.8410326,"B",0.722995134570339,"main"
10.973482,"A",0.745908445824664,"main"
10.973482,"B",0.727498004859085,"main"
11.1059314,"A",0.748633159165381,"main"
11.1059314,"B",0.731409915025226,"main"
11.2383808,"A",0.751402096311868,"main"
11.2383808,"B",0.735164974739594,"main"
11.3708302,"A",0.753810931047832,"main"
11.3708302,"B",0.738767925406318,"main"
11.5032796,"A",0.756213075479243,"main"
11.5032796,"B",0.74224789598143,"main"
11.635729,"A",0.758526369118428,"main"
11.635729,"B",0.745542750395552,"main"
11.7681784,"A",0.760905531309789,"main"
11.7681784,"B",0.748846050564991,"main"
11.9006278,"A",0.763384184559836,"main"
11.9006278,"B",0.751983756710647,"main"
12.0330772,"A",0.765503486328242,"main"
12.0330772,"B",0.754834511565209,"main"
12.1655266,"A",0.767580582818979,"main"
12.1655266,"B",0.757554237016807,"main"
12.297976,"A",0.769575900774871,"main"
12.297976,"B",0.759972380349316,"main"
12.4304254,"A",0.771264566038407,"main"
12.4304254,"B",0.762480692049745,"main"
12.5628748,"A",0.772940822433806,"main"
12.5628748,"B",0.764886875414612,"main"
12.6953242,"A",0.774703630394363,"main"
12.6953242,"B",0.767148282538053,"main"
12.8277736,"A",0.776519177090467,"main"
12.8277736,"B",0.769386777757798,"main"
12.960223,"A",0.77862802852545,"main"
12.960223,"B",0.771796769319376,"main"
13.0926724,"A",0.780810055338643,"main"
13.0926724,"B",0.774356839449854,"main"
13.2251218,"A",0.782966586010242,"main"
13.2251218,"B",0.776532863812065,"main"
13.3575712,"A",0.785316280681376,"main"
13.3575712,"B",0.779013123970294,"main"
13.4900206,"A",0.787156307315827,"main"
13.4900206,"B",0.780950855574354,"main"
7,"A",0,"sensitivity_63-37"
7,"B",0,"sensitivity_63-37"
7.1324494,"A",0.234194978596811,"sensitivity_63-37"
7.1324494,"B",0.239279964042009,"sensitivity_63-37"
7.2648988,"A",0.350694104596914,"sensitivity_63-37"
7.2648988,"B",0.366933383663755,"sensitivity_63-37"
7.3973482,"A",0.436330012764417,"sensitivity_63-37"
7.3973482,"B",0.453353870762304,"sensitivity_63-37"
7.5297976,"A",0.498157172705148,"sensitivity_63-37"
7.5297976,"B",0.511464764656248,"sensitivity_63-37"
7.662247,"A",0.536656431937602,"sensitivity_63-37"
7.662247,"B",0.547052114124148,"sensitivity_63-37"
7.7946964,"A",0.57186537492096,"sensitivity_63-37"
7.7946964,"B",0.581502731422668,"sensitivity_63-37"
7.9271458,"A",0.591971879286694,"sensitivity_63-37"
7.9271458,"B",0.602861066776049,"sensitivity_63-37"
