celltype_1,celltype_2,category,log2_enr_A_K15,log2_enr_A_K200,log2_enr_B_K15,log2_enr_B_K200
Anterior floor plate,Anterior roof plate,neither,-0.4149,-2.1534,0.2205,-1.0329
Anterior floor plate,Astrocytes,neither,-0.2903,-1.0927,0.1944,-0.7798
Anterior floor plate,Border-associated macrophages,neither,-2.3070,-2.8214,-1.9420,-2.3285
Anterior floor plate,Brain capillary endothelial cells,neither,-0.0192,-1.1572,-0.6402,-0.8318
Anterior floor plate,Branchial arch epithelium,neither,-1.3634,-1.7206,-1.0847,-1.2847
Anterior floor plate,Cajal-Retzius cells,neither,-0.6278,-1.0938,-0.4716,-0.9267
Anterior floor plate,Cerebellar Purkinje cells,neither,-1.1494,-1.5837,-1.1979,-1.2948
Anterior floor plate,Chondrocytes (Atp1a2+),neither,-1.3222,-1.3201,-0.7974,-0.9735
Anterior floor plate,Choroid plexus,neither,-0.5152,-2.4874,-0.5498,-1.3176
Anterior floor plate,Cranial motor neurons,neither,1.0064,-0.0927,1.1179,-0.1564
Anterior floor plate,Deep-layer neurons,neither,-2.0278,-1.4232,-1.5515,-1.2271
Anterior floor plate,Definitive early erythroblasts (CD36-),neither,-3.1306,-1.9136,-2.9365,-1.6491
Anterior floor plate,Definitive erythroblasts (CD36+),neither,-0.2350,-1.9706,-0.8790,-1.7093
Anterior floor plate,Dermatome,neither,-0.9511,-1.0910,-1.0016,-0.9932
Anterior floor plate,Dermomyotome,neither,-0.6850,-1.2731,-1.1331,-1.2207
Anterior floor plate,Diencephalon,neither,-1.4134,-2.2817,-1.4684,-1.9656
Anterior floor plate,Dorsal root ganglion neurons,neither,0.0185,-1.8556,0.3399,-0.6460
Anterior floor plate,Dorsal telencephalon,neither,-0.8459,-1.9706,-1.3403,-1.5409
Anterior floor plate,Early chondrocytes,neither,-0.9819,-1.1310,-0.7689,-0.8874
Anterior floor plate,Endocardial cells,neither,-0.5119,-2.0792,-0.5958,-1.7466
Anterior floor plate,Endothelium,neither,-1.3162,-1.2221,-0.3212,-0.8591
Anterior floor plate,Enteric neurons,neither,-1.7407,-1.6324,0.2379,-0.1968
Anterior floor plate,Eye field,neither,-1.0385,-1.6716,-0.3705,-1.2844
Anterior floor plate,Facial mesenchyme,neither,-1.2399,-1.0693,-0.7811,-0.8617
Anterior floor plate,Fibroblasts,neither,-1.0213,-0.8721,-0.8084,-0.5778
Anterior floor plate,First heart field,neither,0.1609,-0.3822,-0.0454,-0.0987
Anterior floor plate,Floorplate and p3 domain,K15_only,2.1775,-0.0254,2.0249,0.2781
Anterior floor plate,GABAergic cortical interneurons,neither,-0.8787,-0.9793,-0.7192,-0.6807
Anterior floor plate,GABAergic neurons,neither,-0.7225,-0.9016,-0.5870,-0.6372
Anterior floor plate,Glutamatergic neurons,neither,0.0013,-0.7625,-0.0680,-0.5411
Anterior floor plate,Granular keratinocytes,neither,-1.4033,-1.4702,-1.0349,-1.1709
Anterior floor plate,Hematopoietic stem cells (Cd34+),neither,-1.9570,-2.8334,-1.8163,-2.6996
Anterior floor plate,Hematopoietic stem cells (Mpo+),neither,-2.0208,-3.2663,-0.3679,-2.1952
Anterior floor plate,Hepatocytes,neither,-2.6949,-2.7348,-3.2924,-2.6408
Anterior floor plate,Hindbrain,neither,-0.4246,-1.1330,0.0219,-0.9166
Anterior floor plate,Hypothalamus,K15_only,1.5442,-0.7568,1.3905,-0.6481
Anterior floor plate,Hypothalamus (Sim1+),both_K,2.7425,1.0032,1.7772,1.0992
Anterior floor plate,Intermediate neuronal progenitors,neither,-2.2906,-1.8929,-1.5176,-1.5704
Anterior floor plate,Kupffer cells,neither,-1.6598,-2.8956,-2.8141,-2.6518
Anterior floor plate,Lateral plate and intermediate mesoderm,neither,-1.3214,-1.0646,-1.0407,-0.8056
Anterior floor plate,Limb mesenchyme progenitors,neither,-1.4536,-1.5031,-1.2440,-1.1176
Anterior floor plate,Liver sinusoidal endothelial cells,neither,-2.2397,-1.9006,0.2020,-1.0362
Anterior floor plate,Lung progenitor cells,neither,-1.6987,-2.6069,-1.8044,-2.5947
Anterior floor plate,Lymphatic vessel endothelial cells,neither,-1.7167,-1.2475,-1.0942,-0.7335
Anterior floor plate,Mast cells,neither,-2.0030,-2.6714,-0.8933,-1.5957
Anterior floor plate,Megakaryocytes,neither,-1.5066,-2.5180,-1.4388,-2.3322
Anterior floor plate,Melanocyte cells,neither,-0.6032,-1.2120,-0.0454,-0.7909
Anterior floor plate,Metanephric mesenchyme,neither,-1.6014,-2.5519,-0.9815,-2.0234
Anterior floor plate,Microglia,neither,-1.0566,-2.6870,-1.6838,-1.6553
Anterior floor plate,Midbrain,neither,-1.1869,-1.5056,-2.0009,-1.2901
Anterior floor plate,Midbrain-hindbrain boundary,neither,-0.1150,-0.7129,-0.8897,-0.8646
Anterior floor plate,Midgut/Hindgut epithelial cells,neither,-0.9304,-2.0312,-2.6353,-2.3893
Anterior floor plate,Monocytes,neither,-1.0530,-2.0555,0.1699,-1.9992
Anterior floor plate,Muscle progenitor cells,neither,0.3295,-1.4079,0.2091,-0.4356
Anterior floor plate,Myelinating Schwann cells,neither,-1.9532,-1.8943,-0.9552,-1.1769
Anterior floor plate,Myelinating Schwann cells (Tgfb2+),neither,-0.9937,-2.0205,-2.2231,-1.9403
Anterior floor plate,Myoblasts,neither,-1.4215,-1.2252,-1.2450,-0.8905
Anterior floor plate,Myofibroblasts,neither,-0.6159,-1.3285,-0.6616,-1.0740
Anterior floor plate,Naive retinal progenitor cells,neither,-1.6180,-2.0809,-1.3200,-2.0097
Anterior floor plate,Nephron progenitors,neither,-1.9661,-3.2269,-0.3565,-2.1290
Anterior floor plate,Neural crest (PNS glia),neither,-1.6565,-1.9436,-1.4397,-1.1242
Anterior floor plate,Neural crest (PNS neurons),neither,-1.4836,-1.8948,-0.8665,-1.4274
Anterior floor plate,Neural progenitor cells (Neurod1+),neither,0.0124,-0.8627,-0.8457,-1.2360
Anterior floor plate,Neurons (Slc17a8+),K15_only,1.5708,0.4495,1.5207,0.1019
Anterior floor plate,Olfactory bulb cells,neither,-0.1743,-1.7117,-0.5431,-2.4074
Anterior floor plate,Olfactory epithelial cells,neither,-2.7097,-2.3906,-1.4237,-2.3056
Anterior floor plate,Olfactory sensory neurons,neither,-1.2538,-2.4428,-0.8618,-2.9003
Anterior floor plate,Otic epithelial cells,neither,-1.8484,-2.2829,-1.8044,-1.8253
Anterior floor plate,Otic sensory neurons,neither,-1.5308,-1.9389,0.0781,-1.5368
