cells_sampled,expected_genotypes,region
1,1.0,observed
9069,8972.6,observed
18138,17813.6,observed
27207,26560.7,observed
36275,35230.6,observed
45344,43836.4,observed
54413,52384.9,observed
63482,60882.0,observed
72550,69331.3,observed
81619,77738.3,observed
90688,86105.1,observed
99756,94433.4,observed
108825,102727.2,observed
117894,110987.7,observed
126963,119216.3,observed
136031,127413.8,observed
145100,135583.4,observed
154169,143725.2,observed
163237,151839.5,observed
172306,159929.2,observed
181375,167994.2,observed
190444,176035.3,observed
199512,184052.5,observed
208581,192048.2,observed
217650,200022.2,observed
226718,207974.3,observed
235787,215906.8,observed
244856,223819.3,observed
253925,231712.4,observed
262993,239585.7,observed
272062,247441.4,observed
281131,255279.0,observed
290199,263098.1,observed
299268,270900.7,observed
308337,278686.5,observed
317406,286455.6,observed
326474,294207.7,observed
335543,301944.7,observed
344612,309666.0,observed
353681,317372.0,observed
377659,337673.7,extrapolated
401637,357870.5,extrapolated
425616,377964.0,extrapolated
449594,397952.9,extrapolated
473572,417838.6,extrapolated
497551,437622.4,extrapolated
521529,457303.4,extrapolated
545507,476882.7,extrapolated
569486,496361.7,extrapolated
593464,515739.4,extrapolated
617443,535017.9,extrapolated
641421,554196.0,extrapolated
665399,573275.1,extrapolated
689378,592256.5,extrapolated
713356,611139.2,extrapolated
737334,629924.4,extrapolated
761313,648613.3,extrapolated
785291,667205.1,extrapolated
809270,685701.6,extrapolated
833248,704101.8,extrapolated
857226,722407.1,extrapolated
881205,740618.7,extrapolated
905183,758735.4,extrapolated
929161,776758.7,extrapolated
953140,794689.6,extrapolated
977118,812527.3,extrapolated
1001097,830273.6,extrapolated
1025075,847927.5,extrapolated
1049053,865490.3,extrapolated
1073032,882963.2,extrapolated
1097010,900345.1,extrapolated
1120988,917637.4,extrapolated
1144967,934841.0,extrapolated
1168945,951955.2,extrapolated
1192924,968981.7,extrapolated
1216902,985919.6,extrapolated
1240880,1002770.0,extrapolated
1264859,1019534.2,extrapolated
1288837,1036211.1,extrapolated
1312815,1052802.0,extrapolated
1336794,1069307.9,extrapolated
1360772,1085727.9,extrapolated
1384751,1102063.8,extrapolated
1408729,1118314.7,extrapolated
1432707,1134481.7,extrapolated
1456686,1150565.9,extrapolated
1480664,1166566.4,extrapolated
1504642,1182484.3,extrapolated
1528621,1198320.7,extrapolated
1552599,1214074.7,extrapolated
1576578,1229748.0,extrapolated
1600556,1245339.8,extrapolated
1624534,1260851.0,extrapolated
1648513,1276282.9,extrapolated
1672491,1291634.4,extrapolated
1696469,1306906.7,extrapolated
1720448,1322100.8,extrapolated
1744426,1337215.8,extrapolated
1768405,1352253.4,extrapolated
