"# sites-written per cell (of 66), for the 4,371 cells with consensus at all 11 integrations"
# N=4371; mean 55.2; SD 4.8; median 56; min 33; max 66
sites_written,n_cells,pct_of_cells,cumulative_pct
0,0,0.0,0.0
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,0,0.0,0.0
10,0,0.0,0.0
11,0,0.0,0.0
12,0,0.0,0.0
13,0,0.0,0.0
14,0,0.0,0.0
15,0,0.0,0.0
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,0,0.0,0.0
21,0,0.0,0.0
22,0,0.0,0.0
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,0,0.0,0.0
28,0,0.0,0.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,1,0.02,0.02
34,0,0.0,0.02
35,0,0.0,0.02
36,0,0.0,0.02
37,0,0.0,0.02
38,3,0.07,0.09
39,5,0.11,0.21
40,3,0.07,0.27
41,12,0.27,0.55
42,17,0.39,0.94
43,21,0.48,1.42
44,29,0.66,2.08
45,48,1.1,3.18
46,75,1.72,4.9
47,81,1.85,6.75
48,101,2.31,9.06
49,139,3.18,12.24
50,192,4.39,16.63
51,211,4.83,21.46
52,251,5.74,27.2
53,286,6.54,33.75
54,348,7.96,41.71
55,332,7.6,49.3
56,389,8.9,58.2
57,336,7.69,65.89
58,341,7.8,73.69
59,295,6.75,80.44
60,263,6.02,86.46
61,214,4.9,91.35
62,171,3.91,95.26
63,90,2.06,97.32
64,66,1.51,98.83
65,28,0.64,99.47
66,23,0.53,100.0
