"blastomere","bin","day_mid","n_internal_nodes","n_ge1","pct_ge1","n_ge2","pct_ge2"
"A","[0,1]",0.5,0,0,NA,0,NA
"A","(1,2]",1.5,1,1,100,1,100
"A","(2,3]",2.5,0,0,NA,0,NA
"A","(3,4]",3.5,0,0,NA,0,NA
"A","(4,5]",4.5,1,0,0,0,0
"A","(5,6]",5.5,35,5,14.2857142857143,2,5.71428571428571
"A","(6,7]",6.5,1827,884,48.3853311439518,524,28.6808976464149
"A","(7,8]",7.5,14286,10116,70.8105837883242,7376,51.6309673806524
"A","(8,9]",8.5,31252,24675,78.9549468833995,19700,63.0359656981953
"A","(9,10]",9.5,49448,39539,79.9607668662029,32967,66.6700372108073
"A","(10,11]",10.5,70574,56194,79.6242242185507,47625,67.4823589423867
"A","(11,12]",11.5,87393,69279,79.2729394802787,58203,66.5991555387731
"A","(12,13]",12.5,99455,77680,78.1056759338394,65078,65.4346186717611
"A","(13,14]",13.5,51900,39412,75.9383429672447,31187,60.0905587668593
"B","[0,1]",0.5,0,0,NA,0,NA
"B","(1,2]",1.5,1,1,100,1,100
"B","(2,3]",2.5,0,0,NA,0,NA
"B","(3,4]",3.5,0,0,NA,0,NA
"B","(4,5]",4.5,2,0,0,0,0
"B","(5,6]",5.5,59,8,13.5593220338983,6,10.1694915254237
"B","(6,7]",6.5,1727,733,42.4435437174291,431,24.9565720903301
"B","(7,8]",7.5,12373,8594,69.4576901317385,6174,49.8989735714863
"B","(8,9]",8.5,24407,19570,80.1819150243783,15741,64.4937927643709
"B","(9,10]",9.5,35880,29799,83.051839464883,25314,70.551839464883
"B","(10,11]",10.5,47117,39275,83.3563257423011,33831,71.8021096419551
"B","(11,12]",11.5,50371,42123,83.6254987989121,36374,72.2121855829743
"B","(12,13]",12.5,48590,39829,81.9695410578308,34341,70.6750360156411
"B","(13,14]",13.5,22228,16338,73.5018895087277,12699,57.1306460320317
