"rank","size"
1,29176
2,27774
3,18568
4,15798
5,15459
6,15419
7,12566
8,11437
9,11268
10,9118
11,8914
12,8528
13,8249
14,7480
15,7423
16,7072
17,6734
18,6630
19,6367
20,6112
21,5982
22,5902
23,5562
24,5431
25,5406
26,5350
27,5327
28,4981
29,4738
30,4697
31,4570
32,4443
33,4375
34,4324
35,4293
36,4187
37,4098
38,4027
39,4011
40,4002
41,3979
42,3945
43,3942
44,3808
45,3773
46,3756
47,3667
48,3491
49,3486
50,3469
51,3413
52,3393
53,3337
54,3298
55,3294
56,3289
57,3219
58,3211
59,3162
60,3151
61,3127
62,3065
63,3044
64,2984
65,2918
66,2895
67,2886
68,2829
69,2798
70,2792
71,2772
72,2732
73,2720
74,2716
75,2701
76,2659
77,2642
78,2639
79,2610
80,2604
81,2598
82,2598
83,2596
84,2565
85,2565
86,2562
87,2561
88,2552
89,2514
90,2509
91,2492
92,2459
93,2420
94,2404
95,2374
96,2373
97,2353
98,2333
99,2302
100,2294
101,2286
102,2234
103,2230
104,2224
105,2222
106,2219
107,2192
108,2191
109,2159
110,2110
111,2109
112,2093
113,2088
114,2063
115,2050
116,2048
117,2041
118,2041
119,2021
120,2008
121,1985
122,1981
123,1976
124,1953
125,1927
126,1900
127,1899
128,1897
129,1890
130,1882
131,1881
132,1858
133,1845
134,1827
135,1815
136,1814
137,1801
138,1797
139,1796
140,1794
141,1776
142,1774
143,1766
144,1766
145,1762
146,1749
147,1744
148,1725
149,1712
150,1695
151,1685
152,1674
153,1673
154,1669
155,1658
156,1630
157,1624
158,1610
159,1595
160,1594
161,1591
162,1587
163,1582
164,1579
165,1577
166,1556
167,1554
168,1553
169,1549
170,1545
171,1545
172,1531
173,1530
174,1529
175,1527
176,1506
177,1474
178,1466
179,1451
180,1449
181,1449
182,1441
183,1440
184,1440
185,1436
186,1435
187,1427
188,1416
189,1413
190,1405
191,1393
192,1393
193,1391
194,1387
195,1376
196,1363
197,1362
198,1348
199,1347
200,1345
201,1342
202,1338
203,1337
204,1337
205,1333
206,1332
207,1328
208,1324
209,1321
210,1306
211,1302
212,1301
213,1287
214,1278
215,1276
216,1272
217,1271
218,1268
219,1264
220,1263
221,1262
222,1259
223,1257
224,1254
225,1253
226,1252
227,1246
228,1240
229,1238
230,1236
231,1233
232,1232
233,1229
234,1228
235,1227
236,1225
237,1225
238,1218
239,1217
240,1215
241,1213
242,1212
243,1204
244,1198
245,1192
246,1190
247,1189
248,1189
249,1178
250,1177
251,1174
252,1173
253,1170
254,1167
255,1163
256,1162
257,1160
258,1159
259,1153
260,1147
261,1141
262,1138
263,1138
264,1135
265,1128
266,1128
267,1125
268,1120
269,1115
270,1114
271,1111
272,1110
273,1108
274,1106
