"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f001","B_cells",NA,0,130,15,"B1"
"f002","B_cells",NA,0,130,20,"B2"
"f003","B_cells",NA,0,130,28,"B2"
"f004","B_cells",NA,0,130,31,"B1"
"f005","B_cells",NA,0,130,16,"B2"
"f006","B_cells",NA,0,130,13,"B2"
"f007","B_cells",NA,0,130,26,"B1"
"f008","B_cells",NA,0,130,19,"B2"
"f009","B_cells",NA,0,130,295,"B2"
"f010","B_cells",NA,0,130,122,"B1"
"f011","B_cells",NA,0,130,12,"B1"
"f012","B_cells",NA,0,130,30,"B2"
"f013","B_cells",NA,0,130,30,"B2"
"f014","B_cells",NA,0,130,550,"B1"
"f015","B_cells",NA,0,130,17,"B2"
"f016","B_cells",NA,0,130,44,"B1"
"f017","B_cells",NA,0,130,126,"B1"
"f018","B_cells",NA,0,130,38,"B2"
"f019","B_cells",NA,0,130,16,"B2"
"f020","B_cells",NA,0,130,93,"B1"
"f021","B_cells",NA,0,130,191,"B1"
"f022","B_cells",NA,0,130,15,"B1"
"f023","B_cells",NA,0,130,30,"B1"
"f024","B_cells",NA,0,130,15,"B1"
"f025","B_cells",NA,0,130,20,"B2"
"f026","B_cells",NA,0,130,69,"B1"
"f027","B_cells",NA,0,130,138,"B1"
"f028","B_cells",NA,0,130,313,"B1"
"f029","B_cells",NA,0,130,29,"B2"
"f030","B_cells",NA,0,130,101,"B2"
"f031","B_cells",NA,0,130,91,"B1"
"f032","B_cells",NA,0,130,81,"B1"
"f033","B_cells",NA,0,130,14,"B1"
"f034","B_cells",NA,0,130,14,"B1"
"f035","B_cells",NA,0,130,14,"B2"
"f036","B_cells",NA,0,130,180,"B2"
"f037","B_cells",NA,0,130,92,"B2"
"f038","B_cells",NA,0,130,46,"B2"
"f039","B_cells",NA,0,130,32,"B1"
"f040","B_cells",NA,0,130,50,"B1"
"f041","B_cells",NA,0,130,50,"B2"
"f042","B_cells",NA,0,130,81,"B2"
"f043","B_cells",NA,0,130,363,"B2"
"f044","B_cells",NA,0,130,187,"B2"
"f045","B_cells",NA,0,130,13,"B1"
"f046","B_cells",NA,0,130,30,"B2"
"f047","B_cells",NA,0,130,17,"B1"
"f048","B_cells",NA,0,130,75,"B1"
"f049","B_cells",NA,0,130,58,"B1"
"f050","B_cells",NA,0,130,87,"B1"
"f051","B_cells",NA,0,130,131,"B2"
"f052","B_cells",NA,0,130,266,"B1"
"f053","B_cells",NA,0,130,57,"B1"
"f054","B_cells",NA,0,130,57,"B2"
"f055","B_cells",NA,0,130,128,"B2"
"f056","B_cells",NA,0,130,44,"B2"
"f057","B_cells",NA,0,130,358,"B1"
"f058","B_cells",NA,0,130,186,"B1"
"f059","B_cells",NA,0,130,118,"B1"
"f060","B_cells",NA,0,130,51,"B1"
"f061","B_cells",NA,0,130,51,"B2"
"f062","B_cells",NA,0,130,39,"B2"
"f063","B_cells",NA,0,130,470,"B1"
"f064","B_cells",NA,0,130,27,"B2"
"f065","B_cells",NA,0,130,50,"B1"
"f066","B_cells",NA,0,130,38,"B2"
"f067","B_cells",NA,0,130,49,"B2"
"f068","B_cells",NA,0,130,64,"B1"
"f069","B_cells",NA,0,130,105,"B2"
"f070","B_cells",NA,0,130,56,"B1"
"f071","B_cells",NA,0,130,97,"B2"
"f072","B_cells",NA,0,130,70,"B1"
"f073","B_cells",NA,0,130,394,"B1"
"f074","B_cells",NA,0,130,22,"B1"
"f075","B_cells",NA,0,130,106,"B1"
"f076","B_cells",NA,0,130,29,"B2"
"f077","B_cells",NA,0,130,29,"B1"
"f078","B_cells",NA,0,130,354,"B2"
"f079","B_cells",NA,0,130,18,"B1"
"f080","B_cells",NA,0,130,18,"B1"
"f081","B_cells",NA,0,130,43,"B2"
"f082","B_cells",NA,0,130,118,"B2"
"f083","B_cells",NA,0,130,25,"B1"
"f084","B_cells",NA,0,130,57,"B1"
"f085","B_cells",NA,0,130,42,"B1"
"f086","B_cells",NA,0,130,42,"B1"
"f087","B_cells",NA,0,130,455,"B2"
"f088","B_cells",NA,0,130,250,"B2"
"f089","B_cells",NA,0,130,24,"B1"
"f090","B_cells",NA,0,130,51,"B2"
"f091","B_cells",NA,0,130,27,"B1"
"f092","B_cells",NA,0,130,148,"B2"
