panel,side,origin,tier,n,pct_of_origin,concordance,null,null_sd,fold
S5EF,all,backbone,cherry,322616,49.2,36.53,5.406,0.047,6.76
S5EF,all,backbone,polytomy,30590,4.7,46.56,5.412,0.081,8.6
S5EF,all,backbone,loner,302495,46.1,34.71,5.405,0.034,6.42
S5EF,all,backbone,overall,655701,100.0,36.16,5.406,0.03,6.69
S5EF,all,placed,cherry,376574,60.2,28.33,5.405,0.048,5.24
S5EF,all,placed,polytomy,183725,29.4,40.88,5.397,0.049,7.57
S5EF,all,placed,loner,65141,10.4,24.47,5.417,0.078,4.52
S5EF,all,placed,overall,625440,100.0,31.61,5.404,0.032,5.85
S5EF,B1,backbone,cherry,205763,50.1,35.99,5.404,0.067,6.66
S5EF,B1,backbone,polytomy,21108,5.1,43.88,5.414,0.107,8.11
S5EF,B1,backbone,loner,184054,44.8,34.68,5.405,0.043,6.42
S5EF,B1,backbone,overall,410925,100.0,35.81,5.405,0.041,6.63
S5EF,B1,placed,cherry,204391,60.2,27.64,5.408,0.062,5.11
S5EF,B1,placed,polytomy,105414,31.1,40.3,5.401,0.064,7.46
S5EF,B1,placed,loner,29630,8.7,23.64,5.421,0.101,4.36
S5EF,B1,placed,overall,339435,100.0,31.22,5.407,0.043,5.77
S5EF,B2,backbone,cherry,116853,47.7,37.48,5.409,0.082,6.93
S5EF,B2,backbone,polytomy,9482,3.9,52.51,5.408,0.162,9.71
S5EF,B2,backbone,loner,118441,48.4,34.76,5.405,0.055,6.43
S5EF,B2,backbone,overall,244776,100.0,36.75,5.407,0.048,6.8
S5EF,B2,placed,cherry,172183,60.2,29.15,5.403,0.08,5.39
S5EF,B2,placed,polytomy,78311,27.4,41.66,5.392,0.07,7.73
S5EF,B2,placed,loner,35511,12.4,25.15,5.413,0.1,4.65
S5EF,B2,placed,overall,286005,100.0,32.08,5.401,0.052,5.94
S5E,all,backbone_orig,cherry,436924,66.6,,,,
S5E,all,backbone_orig,polytomy,5291,0.8,,,,
S5E,all,backbone_orig,loner,213486,32.6,,,,
S5E,all,backbone_orig,overall,655701,100.0,,,,
S5E,B1,backbone_orig,cherry,270886,65.9,,,,
S5E,B1,backbone_orig,polytomy,3918,1.0,,,,
S5E,B1,backbone_orig,loner,136121,33.1,,,,
S5E,B1,backbone_orig,overall,410925,100.0,,,,
S5E,B2,backbone_orig,cherry,166038,67.8,,,,
S5E,B2,backbone_orig,polytomy,1373,0.6,,,,
S5E,B2,backbone_orig,loner,77365,31.6,,,,
S5E,B2,backbone_orig,overall,244776,100.0,,,,
