embryo,sample,site,n_resolved,n_edited,edit_rate
embryo #2,DTTz_2_S2,1,7302944,4617010,0.632212
embryo #2,DTTz_2_S2,2,7127987,2417081,0.339097
embryo #2,DTTz_2_S2,3,7238946,1116891,0.154289
embryo #2,DTTz_2_S2,4,7397485,484434,0.065486
embryo #2,DTTz_2_S2,5,7561153,292850,0.038731
embryo #2,DTTz_2_S2,6,7695305,240866,0.031300
embryo #3,DTTz_3_S3,1,7575151,7517553,0.992396
embryo #3,DTTz_3_S3,2,7092164,6700687,0.944801
embryo #3,DTTz_3_S3,3,6824399,5839698,0.855709
embryo #3,DTTz_3_S3,4,6851453,4953479,0.722982
embryo #3,DTTz_3_S3,5,7135263,4380636,0.613942
embryo #3,DTTz_3_S3,6,7536989,4165817,0.552716
E14.5,E14_5_S1,1,19652407,19649442,0.999849
E14.5,E14_5_S1,2,18653779,18618683,0.998119
E14.5,E14_5_S1,3,17921296,17754136,0.990673
E14.5,E14_5_S1,4,17754636,17212368,0.969458
E14.5,E14_5_S1,5,18189342,17125115,0.941492
E14.5,E14_5_S1,6,19094618,17531612,0.918144
E18.5 #1,E18_5_e1_S3,1,53958650,53735112,0.995857
E18.5 #1,E18_5_e1_S3,2,51148132,50195955,0.981384
E18.5 #1,E18_5_e1_S3,3,48828965,46105461,0.944224
E18.5 #1,E18_5_e1_S3,4,48463722,42388589,0.874646
E18.5 #1,E18_5_e1_S3,5,50111766,40939952,0.816973
E18.5 #1,E18_5_e1_S3,6,52577243,41067357,0.781086
E18.5 #2,E18_5_e2_S4,1,29804478,29600904,0.993170
E18.5 #2,E18_5_e2_S4,2,28171766,27381286,0.971941
E18.5 #2,E18_5_e2_S4,3,26741324,24635464,0.921251
E18.5 #2,E18_5_e2_S4,4,26707191,22450223,0.840606
E18.5 #2,E18_5_e2_S4,5,27850229,21538692,0.773376
E18.5 #2,E18_5_e2_S4,6,29279723,21647666,0.739340
E19.5,E19_5_S2,1,68947746,68872161,0.998904
E19.5,E19_5_S2,2,65493694,65047260,0.993184
E19.5,E19_5_S2,3,62858933,61125660,0.972426
E19.5,E19_5_S2,4,62306436,57896683,0.929225
E19.5,E19_5_S2,5,64190904,56661216,0.882699
E19.5,E19_5_S2,6,67388651,57582055,0.854477
