progenitor,postmitotic,n_cells_A,fold_A,q_A,n_cells_B,fold_B,q_B,tested_in_both,captured
Olfactory bulb cells,Olfactory sensory neurons,46,25.94,6.852e-46,17,13.08,3.020e-12,1,1
Olfactory epithelial cells,Olfactory sensory neurons,126,25.04,1.102e-123,64,24.34,5.197e-62,1,1
Myelinating Schwann cells (Tgfb2+),Parasympathetic neurons,29,23.51,9.889e-28,8,7.71,3.532e-04,1,1
Myelinating Schwann cells (Tgfb2+),Cranial motor neurons,12,10.6,1.153e-07,11,10.89,3.950e-07,1,1
Border-associated macrophages,Osteoclasts,16,13.2,1.352e-11,8,7.72,3.532e-04,1,1
Otic epithelial cells,Otic sensory neurons,33,16.82,4.678e-27,4,3.61,4.145e-01,1,1
Naive retinal progenitor cells,Retinal ganglion cells,24,13.72,9.431e-18,22,8.84,1.837e-12,1,1
Eye field,Retinal ganglion cells,15,11.19,6.704e-10,12,7.79,2.994e-06,1,1
Neural crest (PNS glia),Neural crest (PNS neurons),90,10.89,6.072e-58,26,7.75,2.114e-13,1,1
Kupffer cells,Osteoclasts,5,5.57,4.985e-02,4,4.81,2.032e-01,1,1
Pre-epidermal keratinocytes,Granular keratinocytes,215,8.89,1.468e-104,63,6.82,3.238e-29,1,1
Dorsal telencephalon,Cajal-Retzius cells,127,8.17,1.477e-67,50,6.25,1.286e-21,1,1
Hindbrain,Cerebellar Purkinje cells,367,7.39,5.775e-181,181,7.44,1.071e-89,1,1
Definitive early erythroblasts (CD36-),Granulocytes,16,6.05,7.374e-07,11,5.67,1.713e-04,1,1
Branchial arch epithelium,Granular keratinocytes,78,6.58,1.043e-27,35,6.57,3.993e-14,1,1
Hematopoietic stem cells (Cd34+),Megakaryocytes,65,6.57,3.672e-26,39,5.49,3.953e-15,1,1
Definitive early erythroblasts (CD36-),Osteoclasts,26,5.22,9.626e-10,19,6.7,8.181e-09,1,1
Spinal cord dorsal progenitors,Cerebellar Purkinje cells,115,6.1,1.488e-41,46,5.81,1.054e-18,1,1
Intermediate neuronal progenitors,Deep-layer neurons,820,6.45,0.000e+00,414,5.64,4.049e-163,1,1
Definitive early erythroblasts (CD36-),Megakaryocytes,558,5.87,2.565e-187,405,6.42,1.342e-178,1,1
Retinal progenitor cells,Retinal ganglion cells,5,5.37,5.534e-02,,,,0,1
Border-associated macrophages,Megakaryocytes,37,4.67,2.424e-12,40,6.21,2.826e-17,1,1
Myelinating Schwann cells,Parasympathetic neurons,11,4.25,3.419e-03,8,4.36,1.377e-02,1,1
Astrocytes,Spinal cord motor neurons,15,5.05,1.739e-05,4,2.73,7.878e-01,1,1
Myelinating Schwann cells (Tgfb2+),Sympathetic neurons,5,2.92,4.468e-01,6,4.82,3.770e-02,1,1
Hematopoietic stem cells (Cd34+),Granulocytes,,,,4,4.5,2.443e-01,0,0
Cone precursor cells,Retinal ganglion cells,,,,,,,0,0
Hematopoietic stem cells (Cd34+),Osteoclasts,5,4.3,1.200e-01,,,,0,0
Floorplate and p3 domain,Neurons (Slc17a8+),4,4.37,2.371e-01,,,,0,0
Telencephalon,Deep-layer neurons,4501,4.25,0.000e+00,2471,3.7,0.000e+00,1,1
Spinal cord/r7/r8,GABAergic neurons,827,4.08,4.493e-234,267,3.64,7.400e-66,1,1
Hematopoietic stem cells (Mpo+),Megakaryocytes,7,3.28,1.088e-01,5,3.17,3.534e-01,1,1
Myelinating Schwann cells,Neural crest (PNS neurons),49,3.48,1.185e-11,24,4.39,1.452e-07,1,1
Hematopoietic stem cells (Mpo+),Granulocytes,,,,,,,0,0
Definitive early erythroblasts (CD36-),Primitive erythroid cells,30,3.45,3.800e-07,19,3.99,1.920e-05,1,1
Hematopoietic stem cells (Cd34+),Primitive erythroid cells,6,4.06,9.796e-02,,,,0,0
Hematopoietic stem cells (Mpo+),Osteoclasts,3,3.75,6.639e-01,,,,0,0
Branchial arch epithelium,Olfactory sensory neurons,40,4.13,1.004e-11,10,2.12,3.265e-01,1,1
Oligodendrocyte progenitor cells,Spinal cord motor neurons,3,3.66,6.826e-01,,,,0,0
Kupffer cells,Megakaryocytes,9,3.69,2.090e-02,4,2.24,1.000e+00,1,1
Myelinating Schwann cells,Dorsal root ganglion neurons,5,2.74,5.336e-01,3,2.84,1.000e+00,1,0
Spinal cord dorsal progenitors,GABAergic neurons,317,3.53,2.820e-65,110,3.17,1.461e-22,1,1
Border-associated macrophages,Granulocytes,,,,,,,0,0
Myelinating Schwann cells,Sympathetic neurons,18,2.76,3.419e-03,11,3.48,9.549e-03,1,1
Neural crest (PNS glia),Dorsal root ganglion neurons,3,2.44,1.000e+00,,,,0,0
Myoblasts,Myotubes,5,2.82,4.916e-01,,,,0,0
Neural crest (PNS glia),Sympathetic neurons,10,2.63,9.796e-02,6,3.04,2.913e-01,1,1
Hypothalamus,GABAergic cortical interneurons,314,3.34,4.611e-69,122,2.58,4.929e-18,1,1
T cells,Megakaryocytes,,,,3,3.56,7.606e-01,0,0
