row_in_figure,celltype_1,celltype_2,germ_layer_1,germ_layer_2,clade_ancestor_age_E,log2_enrichment_mean,log2_enrichment_A,log2_enrichment_B,significant_both_blastomeres,coupling_depth_E
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,7.0,-0.212,-0.2793,-0.1447,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,7.25,-0.0867,-0.1204,-0.053,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,7.5,0.3084,0.3921,0.2247,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,7.75,0.5984,0.7541,0.4427,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,8.0,0.8132,0.9988,0.6275,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,8.25,0.9591,1.0699,0.8482,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,8.5,1.1125,1.199,1.026,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,8.75,1.3352,1.4405,1.23,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,9.0,1.4432,1.5349,1.3516,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,9.25,1.6396,1.7503,1.529,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,9.5,1.5894,1.6541,1.5247,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,9.75,1.6978,1.7565,1.6392,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,10.0,1.7512,1.8261,1.6763,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,10.25,1.8941,1.9821,1.8061,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,10.5,2.0405,1.9942,2.0868,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,10.75,1.9788,1.9947,1.9629,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,11.0,1.8395,2.0644,1.6146,1,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,11.25,1.5517,2.1314,0.9721,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,11.5,1.4837,2.0372,0.9302,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,11.75,1.4714,2.1132,0.8296,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,12.0,1.4364,1.8263,1.0465,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,12.25,1.2466,1.2284,1.2647,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,12.5,0.3065,-0.1963,0.8093,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,12.75,0.3822,-0.1306,0.8951,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,13.0,0.4329,-0.0715,0.9372,0,8.25
1,Retinal progenitor cells,Retinal pigment cells,Neuroectoderm,Neuroectoderm,13.25,0.4572,-0.0438,0.9583,0,8.25
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,7.0,-0.6373,-0.5597,-0.7149,0,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,7.25,-0.4204,-0.3995,-0.4413,0,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,7.5,-0.2318,-0.2612,-0.2023,0,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,7.75,0.004,-0.046,0.054,0,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,8.0,0.2351,0.2022,0.2679,0,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,8.25,0.4374,0.3887,0.486,0,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,8.5,0.5997,0.5692,0.6302,1,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,8.75,0.7345,0.6995,0.7694,1,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,9.0,0.9249,0.9055,0.9444,1,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,9.25,1.188,1.1917,1.1842,1,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,9.5,1.3562,1.3806,1.3318,1,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,9.75,1.5478,1.5711,1.5244,1,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,10.0,1.7399,1.7629,1.7169,1,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,10.25,1.8793,1.9003,1.8582,1,8.5
2,Hematopoietic stem cells (Mpo+),Monocytes,Blood,Blood,10.5,2.0978,2.0985,2.0972,1,8.5
