,Anterior roof plate,Astrocytes,Border-associated macrophages,Brain capillary endothelial cells,Branchial arch epithelium,Cajal-Retzius cells,Cerebellar Purkinje cells,Chondrocytes (Atp1a2+),Choroid plexus,Cranial motor neurons,Deep-layer neurons,Definitive erythroblasts (CD36+),Dermatome,Diencephalon,Dorsal root ganglion neurons,Dorsal telencephalon,Early chondrocytes,Endothelium,Eye field,Facial mesenchyme,Fibroblasts,Floorplate and p3 domain,GABAergic neurons,Glutamatergic neurons,Granular keratinocytes,Hematopoietic stem cells (Cd34+),Hematopoietic stem cells (Mpo+),Hindbrain,Intermediate neuronal progenitors,Kupffer cells,Liver sinusoidal endothelial cells,Lung progenitor cells,Lymphatic vessel endothelial cells,Mast cells,Megakaryocytes,Melanocyte cells,Metanephric mesenchyme,Microglia,Midbrain,Midbrain-hindbrain boundary,Midgut/Hindgut epithelial cells,Monocytes,Muscle progenitor cells,Myelinating Schwann cells,Myelinating Schwann cells (Tgfb2+),Myoblasts,Myofibroblasts,Naive retinal progenitor cells,Nephron progenitors,Neural crest (PNS glia),Neural crest (PNS neurons),Neural progenitor cells (Neurod1+),Olfactory bulb cells,Olfactory epithelial cells,Olfactory sensory neurons,Otic epithelial cells,Otic sensory neurons,Pancreatic acinar cells,Parasympathetic neurons,Posterior roof plate,Pre-epidermal keratinocytes,Pre-osteoblasts (Sp7+),Primitive erythroid cells,Retinal ganglion cells,Retinal pigment cells,Retinal progenitor cells,Sclerotome,Spinal cord dorsal progenitors,Spinal cord motor neurons,Spinal cord ventral progenitors,Spinal cord/r7/r8,Sympathetic neurons,Telencephalon,Thalamic neuronal precursors,Ureteric bud
Anterior roof plate,7.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocytes,,7.0,,,,,,,,,,,,,,,,,,,,13.25,12.25,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,10.75,12.75,12.0,,,,
Border-associated macrophages,,,10.75,,,,,,,,,11.25,,,,,,,,,,,,,,,11.5,,,11.5,,,,11.0,12.25,,,10.5,,,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain capillary endothelial cells,,,,7.0,,,,,,,,,,,,,,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchial arch epithelium,,,,,7.25,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,12.25,,,,,,,,,,,,,,,,,,,,,,12.75,13.25,,,,,,12.0,,,,,,,,,,,,,,
Cajal-Retzius cells,,,,,,8.25,,,,,13.0,,,,,11.75,,,,,,,,,,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebellar Purkinje cells,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,,,,,,,
Chondrocytes (Atp1a2+),,,,,,,,7.0,,,,,,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choroid plexus,9.0,,,,,,,,7.25,,,,,,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranial motor neurons,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
Deep-layer neurons,,,,,,13.0,,,,,10.0,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitive erythroblasts (CD36+),,,11.25,,,,,,,,,7.0,,,,,,,,,,,,,,,10.75,,,10.0,,,,9.0,11.0,,,9.0,,,,9.75,,,,,,,,,,,,,,,,,,,,,10.75,,,,,,,,,,,,
Dermatome,,,,,,,,,,,,,7.0,,,,13.25,,,13.25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
Diencephalon,,,,,,,,,,,,,,9.25,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,11.25,
Dorsal root ganglion neurons,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,10.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,
Dorsal telencephalon,,,,,,11.75,,,11.75,,,,,13.25,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early chondrocytes,,,,,,,,13.25,,,,,13.25,,,,7.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25,,,,,,,,
Endothelium,,,,10.75,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,13.0,,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye field,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,9.5,9.5,9.0,,,,,,,,,
Facial mesenchyme,,,,,,,,,,,,,13.25,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,,,,,11.25,,,,,,,,
Fibroblasts,,,,,,,,,,,,,10.5,,,,13.0,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
Floorplate and p3 domain,,13.25,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABAergic neurons,,12.25,,,,,,,,,,,,,,,,,,,,,7.5,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,13.0,13.25,11.25,,,,
Glutamatergic neurons,,13.25,,,,,,,,,,,,,,,,,,,,,12.25,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,,,13.25,,,,
Granular keratinocytes,,,,,12.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25,,,,,,,10.0,,,,,,,,,,,,,,
Hematopoietic stem cells (Cd34+),,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.25,,,,,,,,11.5,,,12.0,,,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hematopoietic stem cells (Mpo+),,,11.5,,,,,,,,,10.75,,,,,,,,,,,,,,11.25,9.0,,,11.75,,,,10.0,10.75,,,10.0,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindbrain,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,
Intermediate neuronal progenitors,,,,,,13.25,,,,,11.5,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,,
Kupffer cells,,,11.5,,,,,,,,,10.0,,,,,,,,,,,,,,,11.75,,,8.75,,,,10.0,12.0,,,9.5,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver sinusoidal endothelial cells,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,7.0,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung progenitor cells,,,,,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphatic vessel endothelial cells,,,,,,,,,,,,,,,,,,12.75,,,,,,,,,,,,,11.75,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mast cells,,,11.0,,,,,,,,,9.0,,,,,,,,,,,,,,,10.0,,,10.0,,,,7.75,10.75,,,9.25,,,,8.75,,,,,,,,,,,,,,,,,,,,,11.75,,,,,,,,,,,,
Megakaryocytes,,,12.25,,,,,,,,,11.0,,,,,,,,,,,,,,11.5,10.75,,,12.0,,,,10.75,9.25,,,10.5,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanocyte cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
Metanephric mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.75
Microglia,,,10.5,,,,,,,,,9.0,,,,,,,,,,,,,,12.0,10.0,,,9.5,,,,9.25,10.5,,,7.25,,,,8.75,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,
Midbrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midbrain-hindbrain boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midgut/Hindgut epithelial cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,12.25,,,,,,,,,,,,,,,,,
Monocytes,,,10.25,,,,,,,,,9.75,,,,,,,,,,,,,,10.25,8.5,,,9.5,,,,8.75,9.5,,,8.75,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscle progenitor cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myelinating Schwann cells,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,12.0,,,,,10.0,11.0,,,,,,,,12.25,,,,,,,,,,,,,12.25,,,
Myelinating Schwann cells (Tgfb2+),,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,7.75,,,,,,,,,,,,,,9.25,,,,,,,,,,,,,,,,
Myoblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25,,,7.5,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myofibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive retinal progenitor cells,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,9.75,10.5,9.25,,,,,,,,,
Nephron progenitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,10.75
Neural crest (PNS glia),,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,10.0,,,,,,7.25,9.75,,,,,,,,,,,,,,,,,,,,13.0,12.75,,,
Neural crest (PNS neurons),,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,9.75,7.75,,,,,,,,,,,,,,,,,13.25,,,13.0,12.0,,,
Neural progenitor cells (Neurod1+),,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,10.5,
Olfactory bulb cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,9.5,9.5,,,,,,,,,,,,,,,,,,,,
Olfactory epithelial cells,,,,,12.75,,,,,,,,,,,,,,,,,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,8.0,10.0,,,,,,,,,,,,,,,,,,,,
Olfactory sensory neurons,,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,10.0,8.5,,,,,,,,,,,,,,,,,,,,
Otic epithelial cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,11.75,,,,,,,,,,,,,,,,,,
Otic sensory neurons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75,7.25,,,,,,,,,,,,,,,,,,
Pancreatic acinar cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
Parasympathetic neurons,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,9.25,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,
Posterior roof plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,13.0,,,,
Pre-epidermal keratinocytes,,,,,12.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,
Pre-osteoblasts (Sp7+),,,,,,,,,,,,,,,,,,,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,12.75,,,,,,,,
Primitive erythroid cells,,,,,,,,,,,,10.75,,,,,,,,,,,,,,,,,,,,,,11.75,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,
Retinal ganglion cells,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,,,,,8.0,10.5,9.0,,,,,,,,,
Retinal pigment cells,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,10.5,7.0,8.25,,,,,,,,,
Retinal progenitor cells,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,,,,,,,,9.0,8.25,7.25,,,,,,,,,
Sclerotome,,,,,,,,,,,,,12.0,,,,13.25,,,11.25,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,,,,,7.0,,,,,,,,
Spinal cord dorsal progenitors,,12.75,,,,,12.75,,,,,,,,,,,,,,,,11.5,12.75,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,13.25,,,,,,,,,,,,,,,,,7.0,13.0,,10.25,,,,
Spinal cord motor neurons,,10.75,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,,12.5,,,,
Spinal cord ventral progenitors,,12.75,,,,,,,,,,,,,,,,,,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,
