merge_order,branch_point_age_E,n_cell_types,members
1,8.25,2,Retinal pigment cells; Retinal progenitor cells
2,8.5,2,Hematopoietic stem cells (Mpo+); Monocytes
3,9.0,2,Anterior roof plate; Choroid plexus
4,9.0,2,Definitive erythroblasts (CD36+); Microglia
5,9.0,2,Metanephric mesenchyme; Nephron progenitors
6,9.125,3,Definitive erythroblasts (CD36+); Mast cells; Microglia
7,9.25,2,Myelinating Schwann cells (Tgfb2+); Parasympathetic neurons
8,9.25,3,Eye field; Retinal pigment cells; Retinal progenitor cells
9,9.5,2,Dorsal root ganglion neurons; Neural crest (PNS neurons)
10,9.5,2,Olfactory bulb cells; Olfactory epithelial cells
11,9.667,5,Definitive erythroblasts (CD36+); Hematopoietic stem cells (Mpo+); Mast cells; Microglia; Monocytes
12,9.667,4,Eye field; Retinal ganglion cells; Retinal pigment cells; Retinal progenitor cells
13,9.75,3,Olfactory bulb cells; Olfactory epithelial cells; Olfactory sensory neurons
14,9.875,3,Dorsal root ganglion neurons; Neural crest (PNS glia); Neural crest (PNS neurons)
15,9.875,5,Eye field; Naive retinal progenitor cells; Retinal ganglion cells; Retinal pigment cells; Retinal progenitor cells
16,10.0,2,Granular keratinocytes; Pre-epidermal keratinocytes
17,10.0,3,Cranial motor neurons; Myelinating Schwann cells (Tgfb2+); Parasympathetic neurons
18,10.0,2,Diencephalon; Neural progenitor cells (Neurod1+)
19,10.15,6,Definitive erythroblasts (CD36+); Hematopoietic stem cells (Mpo+); Kupffer cells; Mast cells; Microglia; Monocytes
20,10.25,2,Spinal cord dorsal progenitors; Spinal cord/r7/r8
21,10.25,2,Myoblasts; Myofibroblasts
22,10.5,2,Dermatome; Fibroblasts
23,10.75,2,Astrocytes; Spinal cord motor neurons
24,10.75,7,Definitive erythroblasts (CD36+); Hematopoietic stem cells (Mpo+); Kupffer cells; Mast cells; Megakaryocytes; Microglia; Monocytes
25,10.75,2,Brain capillary endothelial cells; Endothelium
26,10.875,3,Diencephalon; Neural progenitor cells (Neurod1+); Thalamic neuronal precursors
27,11.167,4,Dorsal root ganglion neurons; Myelinating Schwann cells; Neural crest (PNS glia); Neural crest (PNS neurons)
28,11.179,8,Border-associated macrophages; Definitive erythroblasts (CD36+); Hematopoietic stem cells (Mpo+); Kupffer cells; Mast cells; Megakaryocytes; Microglia; Monocytes
29,11.25,2,Facial mesenchyme; Sclerotome
30,11.375,3,GABAergic neurons; Spinal cord dorsal progenitors; Spinal cord/r7/r8
31,11.5,2,Cerebellar Purkinje cells; Hindbrain
32,11.5,2,Deep-layer neurons; Intermediate neuronal progenitors
33,11.75,2,Cajal-Retzius cells; Dorsal telencephalon
34,11.75,2,Liver sinusoidal endothelial cells; Lymphatic vessel endothelial cells
35,11.75,3,Metanephric mesenchyme; Nephron progenitors; Ureteric bud
36,11.75,2,Otic epithelial cells; Otic sensory neurons
37,12.0,3,Branchial arch epithelium; Granular keratinocytes; Pre-epidermal keratinocytes
38,12.0,3,Facial mesenchyme; Pre-osteoblasts (Sp7+); Sclerotome
39,12.25,2,Midgut/Hindgut epithelial cells; Pancreatic acinar cells
40,12.375,9,Border-associated macrophages; Definitive erythroblasts (CD36+); Hematopoietic stem cells (Cd34+); Hematopoietic stem cells (Mpo+); Kupffer cells; Mast cells; Megakaryocytes; Microglia; Monocytes
41,12.583,5,Astrocytes; GABAergic neurons; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord/r7/r8
42,12.625,5,Dorsal root ganglion neurons; Myelinating Schwann cells; Neural crest (PNS glia); Neural crest (PNS neurons); Sympathetic neurons
43,12.667,10,Border-associated macrophages; Definitive erythroblasts (CD36+); Hematopoietic stem cells (Cd34+); Hematopoietic stem cells (Mpo+); Kupffer cells; Mast cells; Megakaryocytes; Microglia; Monocytes; Primitive erythroid cells
44,12.875,3,Deep-layer neurons; Intermediate neuronal progenitors; Telencephalon
45,12.958,5,Dermatome; Facial mesenchyme; Fibroblasts; Pre-osteoblasts (Sp7+); Sclerotome
46,13.0,6,Astrocytes; GABAergic neurons; Glutamatergic neurons; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord/r7/r8
47,13.062,4,Anterior roof plate; Cajal-Retzius cells; Choroid plexus; Dorsal telencephalon
48,13.083,4,Branchial arch epithelium; Granular keratinocytes; Lung progenitor cells; Pre-epidermal keratinocytes
49,13.188,4,Brain capillary endothelial cells; Endothelium; Liver sinusoidal endothelial cells; Lymphatic vessel endothelial cells
50,13.25,2,Chondrocytes (Atp1a2+); Early chondrocytes
51,13.25,2,Midbrain; Midbrain-hindbrain boundary
52,13.317,8,Cranial motor neurons; Dorsal root ganglion neurons; Myelinating Schwann cells; Myelinating Schwann cells (Tgfb2+); Neural crest (PNS glia); Neural crest (PNS neurons); Parasympathetic neurons; Sympathetic neurons
53,13.333,7,Astrocytes; GABAergic neurons; Glutamatergic neurons; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord ventral progenitors; Spinal cord/r7/r8
54,13.375,3,Muscle progenitor cells; Myoblasts; Myofibroblasts
55,13.396,7,Branchial arch epithelium; Granular keratinocytes; Lung progenitor cells; Olfactory bulb cells; Olfactory epithelial cells; Olfactory sensory neurons; Pre-epidermal keratinocytes
56,13.4,7,Chondrocytes (Atp1a2+); Dermatome; Early chondrocytes; Facial mesenchyme; Fibroblasts; Pre-osteoblasts (Sp7+); Sclerotome
57,13.411,9,Astrocytes; Cerebellar Purkinje cells; GABAergic neurons; Glutamatergic neurons; Hindbrain; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord ventral progenitors; Spinal cord/r7/r8
58,13.438,7,Anterior roof plate; Cajal-Retzius cells; Choroid plexus; Deep-layer neurons; Dorsal telencephalon; Intermediate neuronal progenitors; Telencephalon
59,13.438,9,Cranial motor neurons; Dorsal root ganglion neurons; Melanocyte cells; Myelinating Schwann cells; Myelinating Schwann cells (Tgfb2+); Neural crest (PNS glia); Neural crest (PNS neurons); Parasympathetic neurons; Sympathetic neurons
60,13.444,10,Astrocytes; Cerebellar Purkinje cells; GABAergic neurons; Glutamatergic neurons; Hindbrain; Posterior roof plate; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord ventral progenitors; Spinal cord/r7/r8
61,13.475,11,Astrocytes; Cerebellar Purkinje cells; Floorplate and p3 domain; GABAergic neurons; Glutamatergic neurons; Hindbrain; Posterior roof plate; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord ventral progenitors; Spinal cord/r7/r8
62,13.485,20,Astrocytes; Cerebellar Purkinje cells; Cranial motor neurons; Dorsal root ganglion neurons; Floorplate and p3 domain; GABAergic neurons; Glutamatergic neurons; Hindbrain; Melanocyte cells; Myelinating Schwann cells; Myelinating Schwann cells (Tgfb2+); Neural crest (PNS glia); Neural crest (PNS neurons); Parasympathetic neurons; Posterior roof plate; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord ventral progenitors; Spinal cord/r7/r8; Sympathetic neurons
63,13.488,10,Anterior roof plate; Cajal-Retzius cells; Choroid plexus; Deep-layer neurons; Diencephalon; Dorsal telencephalon; Intermediate neuronal progenitors; Neural progenitor cells (Neurod1+); Telencephalon; Thalamic neuronal precursors
64,13.5,6,Brain capillary endothelial cells; Endothelium; Liver sinusoidal endothelial cells; Lymphatic vessel endothelial cells; Midbrain; Midbrain-hindbrain boundary
65,13.5,9,Brain capillary endothelial cells; Endothelium; Liver sinusoidal endothelial cells; Lymphatic vessel endothelial cells; Midbrain; Midbrain-hindbrain boundary; Muscle progenitor cells; Myoblasts; Myofibroblasts
66,13.5,11,Brain capillary endothelial cells; Endothelium; Liver sinusoidal endothelial cells; Lymphatic vessel endothelial cells; Midbrain; Midbrain-hindbrain boundary; Muscle progenitor cells; Myoblasts; Myofibroblasts; Otic epithelial cells; Otic sensory neurons
67,13.5,13,Brain capillary endothelial cells; Endothelium; Liver sinusoidal endothelial cells; Lymphatic vessel endothelial cells; Midbrain; Midbrain-hindbrain boundary; Midgut/Hindgut epithelial cells; Muscle progenitor cells; Myoblasts; Myofibroblasts; Otic epithelial cells; Otic sensory neurons; Pancreatic acinar cells
68,13.5,20,Brain capillary endothelial cells; Branchial arch epithelium; Endothelium; Granular keratinocytes; Liver sinusoidal endothelial cells; Lung progenitor cells; Lymphatic vessel endothelial cells; Midbrain; Midbrain-hindbrain boundary; Midgut/Hindgut epithelial cells; Muscle progenitor cells; Myoblasts; Myofibroblasts; Olfactory bulb cells; Olfactory epithelial cells; Olfactory sensory neurons; Otic epithelial cells; Otic sensory neurons; Pancreatic acinar cells; Pre-epidermal keratinocytes
69,13.5,30,Border-associated macrophages; Brain capillary endothelial cells; Branchial arch epithelium; Definitive erythroblasts (CD36+); Endothelium; Granular keratinocytes; Hematopoietic stem cells (Cd34+); Hematopoietic stem cells (Mpo+); Kupffer cells; Liver sinusoidal endothelial cells; Lung progenitor cells; Lymphatic vessel endothelial cells; Mast cells; Megakaryocytes; Microglia; Midbrain; Midbrain-hindbrain boundary; Midgut/Hindgut epithelial cells; Monocytes; Muscle progenitor cells; Myoblasts; Myofibroblasts; Olfactory bulb cells; Olfactory epithelial cells; Olfactory sensory neurons; Otic epithelial cells; Otic sensory neurons; Pancreatic acinar cells; Pre-epidermal keratinocytes; Primitive erythroid cells
70,13.5,35,Border-associated macrophages; Brain capillary endothelial cells; Branchial arch epithelium; Definitive erythroblasts (CD36+); Endothelium; Eye field; Granular keratinocytes; Hematopoietic stem cells (Cd34+); Hematopoietic stem cells (Mpo+); Kupffer cells; Liver sinusoidal endothelial cells; Lung progenitor cells; Lymphatic vessel endothelial cells; Mast cells; Megakaryocytes; Microglia; Midbrain; Midbrain-hindbrain boundary; Midgut/Hindgut epithelial cells; Monocytes; Muscle progenitor cells; Myoblasts; Myofibroblasts; Naive retinal progenitor cells; Olfactory bulb cells; Olfactory epithelial cells; Olfactory sensory neurons; Otic epithelial cells; Otic sensory neurons; Pancreatic acinar cells; Pre-epidermal keratinocytes; Primitive erythroid cells; Retinal ganglion cells; Retinal pigment cells; Retinal progenitor cells
71,13.5,42,Border-associated macrophages; Brain capillary endothelial cells; Branchial arch epithelium; Chondrocytes (Atp1a2+); Definitive erythroblasts (CD36+); Dermatome; Early chondrocytes; Endothelium; Eye field; Facial mesenchyme; Fibroblasts; Granular keratinocytes; Hematopoietic stem cells (Cd34+); Hematopoietic stem cells (Mpo+); Kupffer cells; Liver sinusoidal endothelial cells; Lung progenitor cells; Lymphatic vessel endothelial cells; Mast cells; Megakaryocytes; Microglia; Midbrain; Midbrain-hindbrain boundary; Midgut/Hindgut epithelial cells; Monocytes; Muscle progenitor cells; Myoblasts; Myofibroblasts; Naive retinal progenitor cells; Olfactory bulb cells; Olfactory epithelial cells; Olfactory sensory neurons; Otic epithelial cells; Otic sensory neurons; Pancreatic acinar cells; Pre-epidermal keratinocytes; Pre-osteoblasts (Sp7+); Primitive erythroid cells; Retinal ganglion cells; Retinal pigment cells; Retinal progenitor cells; Sclerotome
72,13.5,62,Astrocytes; Border-associated macrophages; Brain capillary endothelial cells; Branchial arch epithelium; Cerebellar Purkinje cells; Chondrocytes (Atp1a2+); Cranial motor neurons; Definitive erythroblasts (CD36+); Dermatome; Dorsal root ganglion neurons; Early chondrocytes; Endothelium; Eye field; Facial mesenchyme; Fibroblasts; Floorplate and p3 domain; GABAergic neurons; Glutamatergic neurons; Granular keratinocytes; Hematopoietic stem cells (Cd34+); Hematopoietic stem cells (Mpo+); Hindbrain; Kupffer cells; Liver sinusoidal endothelial cells; Lung progenitor cells; Lymphatic vessel endothelial cells; Mast cells; Megakaryocytes; Melanocyte cells; Microglia; Midbrain; Midbrain-hindbrain boundary; Midgut/Hindgut epithelial cells; Monocytes; Muscle progenitor cells; Myelinating Schwann cells; Myelinating Schwann cells (Tgfb2+); Myoblasts; Myofibroblasts; Naive retinal progenitor cells; Neural crest (PNS glia); Neural crest (PNS neurons); Olfactory bulb cells; Olfactory epithelial cells; Olfactory sensory neurons; Otic epithelial cells; Otic sensory neurons; Pancreatic acinar cells; Parasympathetic neurons; Posterior roof plate; Pre-epidermal keratinocytes; Pre-osteoblasts (Sp7+); Primitive erythroid cells; Retinal ganglion cells; Retinal pigment cells; Retinal progenitor cells; Sclerotome; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord ventral progenitors; Spinal cord/r7/r8; Sympathetic neurons
73,13.5,72,Anterior roof plate; Astrocytes; Border-associated macrophages; Brain capillary endothelial cells; Branchial arch epithelium; Cajal-Retzius cells; Cerebellar Purkinje cells; Chondrocytes (Atp1a2+); Choroid plexus; Cranial motor neurons; Deep-layer neurons; Definitive erythroblasts (CD36+); Dermatome; Diencephalon; Dorsal root ganglion neurons; Dorsal telencephalon; Early chondrocytes; Endothelium; Eye field; Facial mesenchyme; Fibroblasts; Floorplate and p3 domain; GABAergic neurons; Glutamatergic neurons; Granular keratinocytes; Hematopoietic stem cells (Cd34+); Hematopoietic stem cells (Mpo+); Hindbrain; Intermediate neuronal progenitors; Kupffer cells; Liver sinusoidal endothelial cells; Lung progenitor cells; Lymphatic vessel endothelial cells; Mast cells; Megakaryocytes; Melanocyte cells; Microglia; Midbrain; Midbrain-hindbrain boundary; Midgut/Hindgut epithelial cells; Monocytes; Muscle progenitor cells; Myelinating Schwann cells; Myelinating Schwann cells (Tgfb2+); Myoblasts; Myofibroblasts; Naive retinal progenitor cells; Neural crest (PNS glia); Neural crest (PNS neurons); Neural progenitor cells (Neurod1+); Olfactory bulb cells; Olfactory epithelial cells; Olfactory sensory neurons; Otic epithelial cells; Otic sensory neurons; Pancreatic acinar cells; Parasympathetic neurons; Posterior roof plate; Pre-epidermal keratinocytes; Pre-osteoblasts (Sp7+); Primitive erythroid cells; Retinal ganglion cells; Retinal pigment cells; Retinal progenitor cells; Sclerotome; Spinal cord dorsal progenitors; Spinal cord motor neurons; Spinal cord ventral progenitors; Spinal cord/r7/r8; Sympathetic neurons; Telencephalon; Thalamic neuronal precursors
