"blastomere","rank","size","blast"
"B1",1,29176,"Blastomere A"
"B1",2,27774,"Blastomere A"
"B1",3,18568,"Blastomere A"
"B1",4,15419,"Blastomere A"
"B1",5,12566,"Blastomere A"
"B1",6,11437,"Blastomere A"
"B1",7,9118,"Blastomere A"
"B1",8,8914,"Blastomere A"
"B1",9,8528,"Blastomere A"
"B1",10,7480,"Blastomere A"
"B1",11,7072,"Blastomere A"
"B1",12,6112,"Blastomere A"
"B1",13,5562,"Blastomere A"
"B1",14,5431,"Blastomere A"
"B1",15,5406,"Blastomere A"
"B1",16,5350,"Blastomere A"
"B1",17,5327,"Blastomere A"
"B1",18,4738,"Blastomere A"
"B1",19,4570,"Blastomere A"
"B1",20,4375,"Blastomere A"
"B1",21,4293,"Blastomere A"
"B1",22,4098,"Blastomere A"
"B1",23,4027,"Blastomere A"
"B1",24,4011,"Blastomere A"
"B1",25,4002,"Blastomere A"
"B1",26,3979,"Blastomere A"
"B1",27,3945,"Blastomere A"
"B1",28,3942,"Blastomere A"
"B1",29,3808,"Blastomere A"
"B1",30,3773,"Blastomere A"
"B1",31,3667,"Blastomere A"
"B1",32,3393,"Blastomere A"
"B1",33,3211,"Blastomere A"
"B1",34,3162,"Blastomere A"
"B1",35,3151,"Blastomere A"
"B1",36,3044,"Blastomere A"
"B1",37,2984,"Blastomere A"
"B1",38,2895,"Blastomere A"
"B1",39,2886,"Blastomere A"
"B1",40,2792,"Blastomere A"
"B1",41,2772,"Blastomere A"
"B1",42,2732,"Blastomere A"
"B1",43,2716,"Blastomere A"
"B1",44,2701,"Blastomere A"
"B1",45,2659,"Blastomere A"
"B1",46,2642,"Blastomere A"
"B1",47,2639,"Blastomere A"
"B1",48,2610,"Blastomere A"
"B1",49,2604,"Blastomere A"
"B1",50,2598,"Blastomere A"
"B1",51,2598,"Blastomere A"
"B1",52,2565,"Blastomere A"
"B1",53,2565,"Blastomere A"
"B1",54,2562,"Blastomere A"
"B1",55,2552,"Blastomere A"
"B1",56,2514,"Blastomere A"
"B1",57,2374,"Blastomere A"
"B1",58,2373,"Blastomere A"
"B1",59,2353,"Blastomere A"
"B1",60,2333,"Blastomere A"
"B1",61,2302,"Blastomere A"
"B1",62,2294,"Blastomere A"
"B1",63,2286,"Blastomere A"
"B1",64,2230,"Blastomere A"
"B1",65,2224,"Blastomere A"
"B1",66,2219,"Blastomere A"
"B1",67,2159,"Blastomere A"
"B1",68,2110,"Blastomere A"
"B1",69,2088,"Blastomere A"
"B1",70,2063,"Blastomere A"
"B1",71,2041,"Blastomere A"
"B1",72,2021,"Blastomere A"
"B1",73,2008,"Blastomere A"
"B1",74,1985,"Blastomere A"
"B1",75,1981,"Blastomere A"
"B1",76,1976,"Blastomere A"
"B1",77,1953,"Blastomere A"
"B1",78,1900,"Blastomere A"
"B1",79,1899,"Blastomere A"
"B1",80,1897,"Blastomere A"
"B1",81,1890,"Blastomere A"
"B1",82,1881,"Blastomere A"
"B1",83,1858,"Blastomere A"
"B1",84,1845,"Blastomere A"
"B1",85,1827,"Blastomere A"
"B1",86,1815,"Blastomere A"
"B1",87,1814,"Blastomere A"
"B1",88,1801,"Blastomere A"
"B1",89,1797,"Blastomere A"
"B1",90,1796,"Blastomere A"
"B1",91,1774,"Blastomere A"
"B1",92,1766,"Blastomere A"
"B1",93,1749,"Blastomere A"
"B1",94,1744,"Blastomere A"
"B1",95,1669,"Blastomere A"
"B1",96,1630,"Blastomere A"
"B1",97,1594,"Blastomere A"
"B1",98,1587,"Blastomere A"
"B1",99,1582,"Blastomere A"
"B1",100,1577,"Blastomere A"
"B1",101,1556,"Blastomere A"
"B1",102,1554,"Blastomere A"
"B1",103,1549,"Blastomere A"
"B1",104,1545,"Blastomere A"
"B1",105,1529,"Blastomere A"
"B1",106,1506,"Blastomere A"
"B1",107,1474,"Blastomere A"
"B1",108,1466,"Blastomere A"
"B1",109,1451,"Blastomere A"
"B1",110,1449,"Blastomere A"
"B1",111,1449,"Blastomere A"
"B1",112,1440,"Blastomere A"
"B1",113,1436,"Blastomere A"
"B1",114,1416,"Blastomere A"
"B1",115,1393,"Blastomere A"
"B1",116,1391,"Blastomere A"
"B1",117,1376,"Blastomere A"
"B1",118,1347,"Blastomere A"
"B1",119,1337,"Blastomere A"
"B1",120,1324,"Blastomere A"
"B1",121,1306,"Blastomere A"
"B1",122,1302,"Blastomere A"
"B1",123,1301,"Blastomere A"
"B1",124,1287,"Blastomere A"
"B1",125,1276,"Blastomere A"
