"blastomere","gini","blast"
"B1",0.500950182645911,"Blastomere A"
"B1",0.50495851748785,"Blastomere A"
"B1",0.502308444326043,"Blastomere A"
"B1",0.484564262892358,"Blastomere A"
"B1",0.493782782626718,"Blastomere A"
"B1",0.51451116660415,"Blastomere A"
"B1",0.501886731850224,"Blastomere A"
"B1",0.499172361726043,"Blastomere A"
"B1",0.50606271286222,"Blastomere A"
"B1",0.503352759931795,"Blastomere A"
"B1",0.497580745996065,"Blastomere A"
"B1",0.500887231464274,"Blastomere A"
"B1",0.509224098832187,"Blastomere A"
"B1",0.493243311179182,"Blastomere A"
"B1",0.500826050789715,"Blastomere A"
"B1",0.498803573794022,"Blastomere A"
"B1",0.502389667193761,"Blastomere A"
"B1",0.506727615198184,"Blastomere A"
"B1",0.49255173045127,"Blastomere A"
"B1",0.504482907544883,"Blastomere A"
"B1",0.504373865319072,"Blastomere A"
"B1",0.507312049151824,"Blastomere A"
"B1",0.508160873725611,"Blastomere A"
"B1",0.505437190871268,"Blastomere A"
"B1",0.493699910319934,"Blastomere A"
"B1",0.495797067711252,"Blastomere A"
"B1",0.497542102291647,"Blastomere A"
"B1",0.488576763598567,"Blastomere A"
"B1",0.480901048793348,"Blastomere A"
"B1",0.484151614097962,"Blastomere A"
"B1",0.495797657716643,"Blastomere A"
"B1",0.508019627348299,"Blastomere A"
"B1",0.505349601778518,"Blastomere A"
"B1",0.486778141012423,"Blastomere A"
"B1",0.493127159732016,"Blastomere A"
"B1",0.500291477126263,"Blastomere A"
"B1",0.489968282564157,"Blastomere A"
"B1",0.496901577154499,"Blastomere A"
"B1",0.491244946607436,"Blastomere A"
"B1",0.502205052020237,"Blastomere A"
"B1",0.491860971951344,"Blastomere A"
"B1",0.494045539398683,"Blastomere A"
"B1",0.506806546945981,"Blastomere A"
"B1",0.507638802755037,"Blastomere A"
"B1",0.497097496647681,"Blastomere A"
"B1",0.506095273168123,"Blastomere A"
"B1",0.501856372488968,"Blastomere A"
"B1",0.496654918989487,"Blastomere A"
"B1",0.506121888525046,"Blastomere A"
"B1",0.495209809561156,"Blastomere A"
"B1",0.494178741056062,"Blastomere A"
"B1",0.510400270875039,"Blastomere A"
"B1",0.482015872409677,"Blastomere A"
"B1",0.493873088217166,"Blastomere A"
"B1",0.49952728200294,"Blastomere A"
"B1",0.498267638368757,"Blastomere A"
"B1",0.502502073122781,"Blastomere A"
"B1",0.503775391707611,"Blastomere A"
"B1",0.496090083597582,"Blastomere A"
"B1",0.510984330464896,"Blastomere A"
"B1",0.493548769576678,"Blastomere A"
"B1",0.498765689344065,"Blastomere A"
"B1",0.502587898795167,"Blastomere A"
"B1",0.501699743633248,"Blastomere A"
"B1",0.500630721841353,"Blastomere A"
"B1",0.491901785920526,"Blastomere A"
"B1",0.505361728999527,"Blastomere A"
"B1",0.497949220789879,"Blastomere A"
"B1",0.500660783074051,"Blastomere A"
"B1",0.506939183003336,"Blastomere A"
"B1",0.500237832984052,"Blastomere A"
"B1",0.483420469365529,"Blastomere A"
"B1",0.485219875171035,"Blastomere A"
"B1",0.501063817838605,"Blastomere A"
"B1",0.504779442020625,"Blastomere A"
"B1",0.491143211077951,"Blastomere A"
"B1",0.50369060538479,"Blastomere A"
"B1",0.505405925315081,"Blastomere A"
"B1",0.507581579833108,"Blastomere A"
"B1",0.491095006200367,"Blastomere A"
"B1",0.495078182840429,"Blastomere A"
"B1",0.502324808173078,"Blastomere A"
"B1",0.496164834144725,"Blastomere A"
"B1",0.499211137964838,"Blastomere A"
"B1",0.501675513495454,"Blastomere A"
"B1",0.504867149952741,"Blastomere A"
"B1",0.49251671341285,"Blastomere A"
"B1",0.505644056912423,"Blastomere A"
"B1",0.500421487691874,"Blastomere A"
"B1",0.495236585385972,"Blastomere A"
"B1",0.492051732959411,"Blastomere A"
"B1",0.50118915772905,"Blastomere A"
"B1",0.497119155840535,"Blastomere A"
"B1",0.498346206742735,"Blastomere A"
"B1",0.515096421773464,"Blastomere A"
"B1",0.497666697658103,"Blastomere A"
"B1",0.493362049261801,"Blastomere A"
"B1",0.498098617241581,"Blastomere A"
"B1",0.496138397244416,"Blastomere A"
"B1",0.494605029090996,"Blastomere A"
"B1",0.503912304698881,"Blastomere A"
"B1",0.501308242822901,"Blastomere A"
"B1",0.500132389719236,"Blastomere A"
"B1",0.493400713277467,"Blastomere A"
"B1",0.50461748941838,"Blastomere A"
"B1",0.50833455786869,"Blastomere A"
"B1",0.500141573852751,"Blastomere A"
"B1",0.501491241550147,"Blastomere A"
"B1",0.499554985534636,"Blastomere A"
"B1",0.500602848223532,"Blastomere A"
"B1",0.498063894156402,"Blastomere A"
"B1",0.491134345528097,"Blastomere A"
"B1",0.497107668353766,"Blastomere A"
"B1",0.500209976670772,"Blastomere A"
"B1",0.50060232518002,"Blastomere A"
"B1",0.500808630164095,"Blastomere A"
"B1",0.49218290506408,"Blastomere A"
"B1",0.502646240390929,"Blastomere A"
"B1",0.502982473995062,"Blastomere A"
"B1",0.489607769609311,"Blastomere A"
"B1",0.497521688155645,"Blastomere A"
"B1",0.501268049775424,"Blastomere A"
"B1",0.494074976508338,"Blastomere A"
"B1",0.50836300476567,"Blastomere A"
"B1",0.501907942125352,"Blastomere A"
"B1",0.498206616476272,"Blastomere A"
"B1",0.493496063911838,"Blastomere A"
"B1",0.508671017678282,"Blastomere A"
"B1",0.515311892999287,"Blastomere A"
"B1",0.489179699021025,"Blastomere A"
"B1",0.504380810341313,"Blastomere A"
"B1",0.496949474063726,"Blastomere A"
"B1",0.482333754140807,"Blastomere A"
"B1",0.498778739009278,"Blastomere A"
"B1",0.496794803871087,"Blastomere A"
"B1",0.493030238234339,"Blastomere A"
"B1",0.499028708959269,"Blastomere A"
"B1",0.504357076056153,"Blastomere A"
"B1",0.493595149138678,"Blastomere A"
"B1",0.485645412865835,"Blastomere A"
"B1",0.494439231597684,"Blastomere A"
"B1",0.49138773320931,"Blastomere A"
"B1",0.496591089191036,"Blastomere A"
"B1",0.498955011362362,"Blastomere A"
"B1",0.485839956780374,"Blastomere A"
"B1",0.500409159217421,"Blastomere A"
"B1",0.483476511674079,"Blastomere A"
"B1",0.495014738139636,"Blastomere A"
"B1",0.496029048091316,"Blastomere A"
"B1",0.502991976828247,"Blastomere A"
"B1",0.493617056167242,"Blastomere A"
"B1",0.49665331527574,"Blastomere A"
"B1",0.499749200867806,"Blastomere A"
"B1",0.499898732947387,"Blastomere A"
"B1",0.492569494568146,"Blastomere A"
"B1",0.495707441455552,"Blastomere A"
"B1",0.496583370266384,"Blastomere A"
"B1",0.492624484696757,"Blastomere A"
"B1",0.506458524983241,"Blastomere A"
"B1",0.485555057980902,"Blastomere A"
"B1",0.496918711845934,"Blastomere A"
"B1",0.490146610699745,"Blastomere A"
"B1",0.497621706650933,"Blastomere A"
"B1",0.495238705058879,"Blastomere A"
"B1",0.499344688936146,"Blastomere A"
"B1",0.504992670750895,"Blastomere A"
"B1",0.50243151978045,"Blastomere A"
"B1",0.500913681274215,"Blastomere A"
"B1",0.504324951809986,"Blastomere A"
"B1",0.494823119376591,"Blastomere A"
"B1",0.503528328378381,"Blastomere A"
"B1",0.497808674223016,"Blastomere A"
"B1",0.50141439236786,"Blastomere A"
"B1",0.493447144141767,"Blastomere A"
"B1",0.509445169866065,"Blastomere A"
"B1",0.507616910983761,"Blastomere A"
"B1",0.501993741341913,"Blastomere A"
"B1",0.507563731084197,"Blastomere A"
"B1",0.499318720898861,"Blastomere A"
"B1",0.492351721831659,"Blastomere A"
"B1",0.500359815748842,"Blastomere A"
"B1",0.479760678188265,"Blastomere A"
"B1",0.494658697833418,"Blastomere A"
"B1",0.49754733757172,"Blastomere A"
"B1",0.504107984949858,"Blastomere A"
"B1",0.493373810266781,"Blastomere A"
"B1",0.492120839204178,"Blastomere A"
"B1",0.500210318972409,"Blastomere A"
"B1",0.503305672837552,"Blastomere A"
"B1",0.504464723341254,"Blastomere A"
"B1",0.510280731859802,"Blastomere A"
"B1",0.492814578333831,"Blastomere A"
"B1",0.506091093961579,"Blastomere A"
"B1",0.506501048373431,"Blastomere A"
"B1",0.505343145196199,"Blastomere A"
"B1",0.496352246229747,"Blastomere A"
"B1",0.494378006174446,"Blastomere A"
"B1",0.49611404287839,"Blastomere A"
"B1",0.505692991236612,"Blastomere A"
"B1",0.496329319940448,"Blastomere A"
"B1",0.502980619729226,"Blastomere A"
"B1",0.490918057223238,"Blastomere A"
"B1",0.515402319340705,"Blastomere A"
"B1",0.500563138908008,"Blastomere A"
"B1",0.507107304274323,"Blastomere A"
"B1",0.498521983051542,"Blastomere A"
"B1",0.498757218942039,"Blastomere A"
"B1",0.488077599677907,"Blastomere A"
"B1",0.50196386525802,"Blastomere A"
"B1",0.496203422721531,"Blastomere A"
"B1",0.50535767023573,"Blastomere A"
"B1",0.494765881604527,"Blastomere A"
"B1",0.497695362845768,"Blastomere A"
"B1",0.503693094916387,"Blastomere A"
"B1",0.506795666344423,"Blastomere A"
"B1",0.50682979982573,"Blastomere A"
"B1",0.492500374512794,"Blastomere A"
"B1",0.488823009644307,"Blastomere A"
"B1",0.496261296154379,"Blastomere A"
"B1",0.502236955239363,"Blastomere A"
"B1",0.49732709272641,"Blastomere A"
"B1",0.491841385681504,"Blastomere A"
"B1",0.4995847792554,"Blastomere A"
"B1",0.504858919573064,"Blastomere A"
"B1",0.488775596217986,"Blastomere A"
"B1",0.500106415176066,"Blastomere A"
"B1",0.509771080432851,"Blastomere A"
"B1",0.498731757161397,"Blastomere A"
"B1",0.494772131052591,"Blastomere A"
"B1",0.485066841614879,"Blastomere A"
