"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f001","B_cells",NA,0,120,15,"Blastomere A"
"f002","B_cells",NA,0,120,13,"Blastomere B"
"f003","B_cells",NA,0,120,10,"Blastomere B"
"f004","B_cells",NA,0,120,11,"Blastomere B"
"f005","B_cells",NA,0,120,17,"Blastomere B"
"f006","B_cells",NA,0,120,32,"Blastomere A"
"f007","B_cells",NA,0,120,42,"Blastomere B"
"f008","B_cells",NA,0,120,30,"Blastomere A"
"f009","B_cells",NA,0,120,15,"Blastomere B"
"f010","B_cells",NA,0,120,56,"Blastomere A"
"f011","B_cells",NA,0,120,26,"Blastomere A"
"f012","B_cells",NA,0,120,13,"Blastomere A"
"f013","B_cells",NA,0,120,26,"Blastomere B"
"f014","B_cells",NA,0,120,74,"Blastomere B"
"f015","B_cells",NA,0,120,244,"Blastomere A"
"f016","B_cells",NA,0,120,11,"Blastomere B"
"f017","B_cells",NA,0,120,21,"Blastomere A"
"f018","B_cells",NA,0,120,147,"Blastomere B"
"f019","B_cells",NA,0,120,69,"Blastomere A"
"f020","B_cells",NA,0,120,49,"Blastomere A"
"f021","B_cells",NA,0,120,116,"Blastomere B"
"f022","B_cells",NA,0,120,19,"Blastomere B"
"f023","B_cells",NA,0,120,151,"Blastomere A"
"f024","B_cells",NA,0,120,71,"Blastomere A"
"f025","B_cells",NA,0,120,34,"Blastomere A"
"f026","B_cells",NA,0,120,246,"Blastomere A"
"f027","B_cells",NA,0,120,63,"Blastomere B"
"f028","B_cells",NA,0,120,23,"Blastomere B"
"f029","B_cells",NA,0,120,23,"Blastomere B"
"f030","B_cells",NA,0,120,125,"Blastomere A"
"f031","B_cells",NA,0,120,36,"Blastomere A"
"f032","B_cells",NA,0,120,28,"Blastomere B"
"f033","B_cells",NA,0,120,42,"Blastomere A"
"f034","B_cells",NA,0,120,90,"Blastomere B"
"f035","B_cells",NA,0,120,62,"Blastomere B"
"f036","B_cells",NA,0,120,102,"Blastomere A"
"f037","B_cells",NA,0,120,27,"Blastomere A"
"f038","B_cells",NA,0,120,27,"Blastomere B"
"f039","B_cells",NA,0,120,53,"Blastomere B"
"f040","B_cells",NA,0,120,13,"Blastomere A"
"f041","B_cells",NA,0,120,13,"Blastomere B"
"f042","B_cells",NA,0,120,116,"Blastomere B"
"f043","B_cells",NA,0,120,51,"Blastomere A"
"f044","B_cells",NA,0,120,38,"Blastomere A"
"f045","B_cells",NA,0,120,19,"Blastomere A"
"f046","B_cells",NA,0,120,19,"Blastomere A"
"f047","B_cells",NA,0,120,25,"Blastomere B"
"f048","B_cells",NA,0,120,68,"Blastomere B"
"f049","B_cells",NA,0,120,37,"Blastomere A"
"f050","B_cells",NA,0,120,37,"Blastomere B"
"f051","B_cells",NA,0,120,43,"Blastomere A"
"f052","B_cells",NA,0,120,30,"Blastomere A"
"f053","B_cells",NA,0,120,42,"Blastomere A"
"f054","B_cells",NA,0,120,23,"Blastomere A"
"f055","B_cells",NA,0,120,40,"Blastomere A"
"f056","B_cells",NA,0,120,227,"Blastomere A"
"f057","B_cells",NA,0,120,17,"Blastomere A"
"f058","B_cells",NA,0,120,73,"Blastomere A"
"f059","B_cells",NA,0,120,22,"Blastomere B"
