"blastomere","major_trajectory","gini_full","n_founders_full","n_cells_full","gini_backbone","n_founders_backbone","n_cells_backbone","min_founders","blast"
"B1","B_cells",0.405372405372405,39,84,0.396011396011396,36,78,36,"Blastomere A"
"B1","Cardiomyocytes",0.336855967078189,135,225,0.31507027589797,68,113,68,"Blastomere A"
"B1","CNS_neurons",0.832091582776325,1808,219668,0.828126629786913,1647,121897,1647,"Blastomere A"
"B1","Definitive_erythroid",0.908365741365533,844,64371,0.826885450940094,378,25255,378,"Blastomere A"
"B1","Endothelium",0.683621819903333,969,8083,0.627507900494287,602,3280,602,"Blastomere A"
"B1","Ependymal_cells",0.52243039978889,182,583,0.494350282485876,153,472,153,"Blastomere A"
"B1","Epithelium",0.778325260888555,1341,26777,0.770508764041437,1043,15728,1043,"Blastomere A"
"B1","Eye_and_other",0.729686421500529,243,2355,0.696937241311251,182,1893,182,"Blastomere A"
"B1","Hepatocytes",0.851861952131561,460,8418,0.786659529031181,199,5238,199,"Blastomere A"
"B1","Intermediate_neuronal_progenitors",0.865791290811401,963,30265,0.843858533062824,663,17896,663,"Blastomere A"
"B1","Intestine",0.667894011458221,176,841,0.657871812470303,124,611,124,"Blastomere A"
"B1","Lung_and_airway",0.7454664882319,158,1031,0.720296610169492,80,590,80,"Blastomere A"
"B1","Mast_cells",0.590624444839225,104,433,0.523556876061121,76,248,76,"Blastomere A"
"B1","Megakaryocytes",0.661150813808652,262,2194,0.607318324155059,189,1568,189,"Blastomere A"
"B1","Mesoderm",0.778465642314927,1899,202374,0.776989010365193,1823,114971,1823,"Blastomere A"
"B1","Muscle_cells",0.754696266652604,1301,27883,0.733654710941015,986,14804,986,"Blastomere A"
"B1","Neural_crest_PNS_glia",0.724612818076233,825,8610,0.692252098390019,570,5054,570,"Blastomere A"
"B1","Neural_crest_PNS_neurons",0.719190675293488,841,8161,0.697177164524963,658,6060,658,"Blastomere A"
"B1","Neuroectoderm_and_glia",0.850398146208092,1595,120828,0.841643992771049,1331,65631,1331,"Blastomere A"
"B1","Olfactory_sensory_neurons",0.77056983323778,308,2605,0.735307193029252,207,1793,207,"Blastomere A"
"B1","Oligodendrocytes",0.306612118531623,76,119,0.262719172175913,49,71,49,"Blastomere A"
"B1","Primitive_erythroid",0.256331006979063,118,170,0,26,26,26,"Blastomere A"
"B1","T_cells",0.41407013353599,61,151,0.344512195121951,41,96,41,"Blastomere A"
"B1","Testis_and_adrenal",0.303130511463845,72,126,0.258804448563485,52,83,52,"Blastomere A"
"B1","White_blood_cells",0.814293378861101,537,14005,0.742360568054967,314,7469,314,"Blastomere A"
"B2","B_cells",0.353497164461248,23,46,0.349206349206349,21,42,21,"Blastomere B"
"B2","Cardiomyocytes",0.227663738564471,127,173,0.169983416252073,54,67,54,"Blastomere B"
"B2","CNS_neurons",0.806435736918974,1631,143552,0.793631702420114,1436,64287,1436,"Blastomere B"
"B2","Definitive_erythroid",0.894743308897627,721,50616,0.838179674053928,380,17339,380,"Blastomere B"
"B2","Endothelium",0.629385438846833,843,5756,0.54811812304982,498,1883,498,"Blastomere B"
"B2","Ependymal_cells",0.49126695268498,187,526,0.465097309907176,147,417,147,"Blastomere B"
"B2","Epithelium",0.750290501029564,1138,17012,0.731521688079349,848,8838,848,"Blastomere B"
"B2","Eye_and_other",0.760270803252159,296,2789,0.742717548017385,197,1947,197,"Blastomere B"
"B2","Hepatocytes",0.864864877139154,447,9852,0.811308667351833,200,5838,200,"Blastomere B"
"B2","Intermediate_neuronal_progenitors",0.860272121267464,850,21902,0.840973089388689,542,10520,542,"Blastomere B"
"B2","Intestine",0.523809523809524,225,616,0.507293912980447,139,397,139,"Blastomere B"
"B2","Lung_and_airway",0.706987735810618,135,909,0.631792493841472,67,412,67,"Blastomere B"
"B2","Mast_cells",0.550262847333977,117,478,0.473877749254146,71,203,71,"Blastomere B"
"B2","Megakaryocytes",0.664079436147151,222,1654,0.602283298097252,143,1075,143,"Blastomere B"
"B2","Mesoderm",0.766024094503494,1775,142459,0.758461312313963,1672,69681,1672,"Blastomere B"
"B2","Muscle_cells",0.715891821635673,1140,20004,0.678931179132761,809,8922,809,"Blastomere B"
"B2","Neural_crest_PNS_glia",0.682227487256225,663,5189,0.638592742650973,424,2552,424,"Blastomere B"
"B2","Neural_crest_PNS_neurons",0.665953945211587,666,4580,0.64620412434493,501,2884,501,"Blastomere B"
"B2","Neuroectoderm_and_glia",0.839998029270331,1397,88845,0.825866586051787,1106,40975,1106,"Blastomere B"
"B2","Olfactory_sensory_neurons",0.792986917388831,171,1573,0.746703246929717,83,931,83,"Blastomere B"
"B2","Oligodendrocytes",0.183823529411765,51,64,0.12051282051282,26,30,26,"Blastomere B"
"B2","Primitive_erythroid",0.155339805825243,85,103,0,10,10,10,"Blastomere B"
"B2","T_cells",0.403195648478667,53,111,0.370445344129555,26,57,26,"Blastomere B"
"B2","Testis_and_adrenal",0.19243156199678,54,69,0.205729166666667,24,32,24,"Blastomere B"
"B2","White_blood_cells",0.807587722983001,540,11903,0.739561628718497,292,5437,292,"Blastomere B"
