"blastomere","node","support"
"B1",410926,23
"B1",410927,0
"B1",410928,0
"B1",410929,0
"B1",410930,0
"B1",410931,0
"B1",410932,0
"B1",410933,0
"B1",410934,0
"B1",410935,0
"B1",410936,0
"B1",410937,0
"B1",410938,0
"B1",410939,5
"B1",410940,0
"B1",410941,0
"B1",410942,0
"B1",410943,0
"B1",410944,1
"B1",410945,6
"B1",410946,8
"B1",410947,12
"B1",410948,11
"B1",410949,1
"B1",410950,0
"B1",410951,0
"B1",410952,0
"B1",410953,3
"B1",410954,6
"B1",410955,9
"B1",410956,3
"B1",410957,5
"B1",410958,3
"B1",410959,5
"B1",410960,0
"B1",410961,1
"B1",410962,0
"B1",410963,0
"B1",410964,0
"B1",410965,1
"B1",410966,0
"B1",410967,2
"B1",410968,0
"B1",410969,2
"B1",410970,1
"B1",410971,1
"B1",410972,0
"B1",410973,0
"B1",410974,0
"B1",410975,0
"B1",410976,0
"B1",410977,3
"B1",410978,1
"B1",410979,2
"B1",410980,3
"B1",410981,1
"B1",410982,1
"B1",410983,1
"B1",410984,9
"B1",410985,5
"B1",410986,6
"B1",410987,14
"B1",410988,6
"B1",410989,3
"B1",410990,5
"B1",410991,7
"B1",410992,4
"B1",410993,6
"B1",410994,0
"B1",410995,4
"B1",410996,4
"B1",410997,1
"B1",410998,4
"B1",410999,2
"B1",411000,6
"B1",411001,1
"B1",411002,4
"B1",411003,0
"B1",411004,5
"B1",411005,11
"B1",411006,5
"B1",411007,0
"B1",411008,2
"B1",411009,0
"B1",411010,2
"B1",411011,1
"B1",411012,2
"B1",411013,0
"B1",411014,4
"B1",411015,1
"B1",411016,4
"B1",411017,7
"B1",411018,3
"B1",411019,7
"B1",411020,4
"B1",411021,5
"B1",411022,2
"B1",411023,2
"B1",411024,7
"B1",411025,1
"B1",411026,6
"B1",411027,8
"B1",411028,0
"B1",411029,0
"B1",411030,0
"B1",411031,0
"B1",411032,3
"B1",411033,4
"B1",411034,0
"B1",411035,5
"B1",411036,4
"B1",411037,2
"B1",411038,12
"B1",411039,4
"B1",411040,13
"B1",411041,0
"B1",411042,0
"B1",411043,3
"B1",411044,2
"B1",411045,13
"B1",411046,12
"B1",411047,7
"B1",411048,10
"B1",411049,6
"B1",411050,1
"B1",411051,2
"B1",411052,1
"B1",411053,3
"B1",411054,2
"B1",411055,0
"B1",411056,3
"B1",411057,4
"B1",411058,6
"B1",411059,5
"B1",411060,5
"B1",411061,2
"B1",411062,2
"B1",411063,6
"B1",411064,1
"B1",411065,1
"B1",411066,0
"B1",411067,3
"B1",411068,3
"B1",411069,6
"B1",411070,4
"B1",411071,7
"B1",411072,5
"B1",411073,12
"B1",411074,10
"B1",411075,3
"B1",411076,7
"B1",411077,3
"B1",411078,5
"B1",411079,2
"B1",411080,4
"B1",411081,3
"B1",411082,3
"B1",411083,4
"B1",411084,2
"B1",411085,2
"B1",411086,0
"B1",411087,2
"B1",411088,7
"B1",411089,0
"B1",411090,3
"B1",411091,8
"B1",411092,5
"B1",411093,10
"B1",411094,7
"B1",411095,0
"B1",411096,3
"B1",411097,0
"B1",411098,1
"B1",411099,1
"B1",411100,0
"B1",411101,4
"B1",411102,0
"B1",411103,1
"B1",411104,0
"B1",411105,1
"B1",411106,0
"B1",411107,6
"B1",411108,2
"B1",411109,3
"B1",411110,2
"B1",411111,6
"B1",411112,4
"B1",411113,3
"B1",411114,9
"B1",411115,6
"B1",411116,0
"B1",411117,0
"B1",411118,1
"B1",411119,0
"B1",411120,5
"B1",411121,5
"B1",411122,1
"B1",411123,5
"B1",411124,6
"B1",411125,2
"B1",411126,5
"B1",411127,12
"B1",411128,2
"B1",411129,1
"B1",411130,7
"B1",411131,9
"B1",411132,2
"B1",411133,3
"B1",411134,0
"B1",411135,1
"B1",411136,7
"B1",411137,6
"B1",411138,3
"B1",411139,8
"B1",411140,3
"B1",411141,5
"B1",411142,5
"B1",411143,5
"B1",411144,16
"B1",411145,5
"B1",411146,0
"B1",411147,5
"B1",411148,8
"B1",411149,1
"B1",411150,8
"B1",411151,3
"B1",411152,2
"B1",411153,3
"B1",411154,6
"B1",411155,8
"B1",411156,8
"B1",411157,6
"B1",411158,6
"B1",411159,0
"B1",411160,0
"B1",411161,0
"B1",411162,3
"B1",411163,2
"B1",411164,4
"B1",411165,7
"B1",411166,3
"B1",411167,2
"B1",411168,5
"B1",411169,10
"B1",411170,2
"B1",411171,7
"B1",411172,1
"B1",411173,0
"B1",411174,6
"B1",411175,5
"B1",411176,10
"B1",411177,0
"B1",411178,3
"B1",411179,13
"B1",411180,4
"B1",411181,8
"B1",411182,9
"B1",411183,9
"B1",411184,7
"B1",411185,3
"B1",411186,0
"B1",411187,3
"B1",411188,9
"B1",411189,0
"B1",411190,4
"B1",411191,1
"B1",411192,0
"B1",411193,0
"B1",411194,4
"B1",411195,4
"B1",411196,3
"B1",411197,2
"B1",411198,1
"B1",411199,1
"B1",411200,0
"B1",411201,3
"B1",411202,7
"B1",411203,0
"B1",411204,1
"B1",411205,6
"B1",411206,4
"B1",411207,9
"B1",411208,2
"B1",411209,7
"B1",411210,5
"B1",411211,6
"B1",411212,1
"B1",411213,1
"B1",411214,4
"B1",411215,0
"B1",411216,2
"B1",411217,2
"B1",411218,1
"B1",411219,7
"B1",411220,2
"B1",411221,3
"B1",411222,6
"B1",411223,16
"B1",411224,5
"B1",411225,14
"B1",411226,0
"B1",411227,1
"B1",411228,3
"B1",411229,1
"B1",411230,11
"B1",411231,12
"B1",411232,12
"B1",411233,4
"B1",411234,3
"B1",411235,0
"B1",411236,0
"B1",411237,0
"B1",411238,1
"B1",411239,1
"B1",411240,2
"B1",411241,6
"B1",411242,7
"B1",411243,1
"B1",411244,1
"B1",411245,4
"B1",411246,6
"B1",411247,7
"B1",411248,1
"B1",411249,7
"B1",411250,1
"B1",411251,5
"B1",411252,9
"B1",411253,6
"B1",411254,5
"B1",411255,7
"B1",411256,13
"B1",411257,9
"B1",411258,0
"B1",411259,11
"B1",411260,6
"B1",411261,1
"B1",411262,3
"B1",411263,6
"B1",411264,1
"B1",411265,8
"B1",411266,3
"B1",411267,0
"B1",411268,4
"B1",411269,5
"B1",411270,8
"B1",411271,0
"B1",411272,5
"B1",411273,10
"B1",411274,11
"B1",411275,0
"B1",411276,3
"B1",411277,4
"B1",411278,2
"B1",411279,5
"B1",411280,8
"B1",411281,0
"B1",411282,8
"B1",411283,13
"B1",411284,7
"B1",411285,17
"B1",411286,19
"B1",411287,6
"B1",411288,11
"B1",411289,6
"B1",411290,3
"B1",411291,0
"B1",411292,0
"B1",411293,1
"B1",411294,21
"B1",411295,7
"B1",411296,9
"B1",411297,1
"B1",411298,12
"B1",411299,1
"B1",411300,6
"B1",411301,12
"B1",411302,6
"B1",411303,22
"B1",411304,7
"B1",411305,17
"B1",411306,14
"B1",411307,1
"B1",411308,13
"B1",411309,8
"B1",411310,17
"B1",411311,8
"B1",411312,4
"B1",411313,0
"B1",411314,9
"B1",411315,2
"B1",411316,2
"B1",411317,2
"B1",411318,5
"B1",411319,9
"B1",411320,4
"B1",411321,13
"B1",411322,1
"B1",411323,0
"B1",411324,6
"B1",411325,12
"B1",411326,6
"B1",411327,8
"B1",411328,14
"B1",411329,2
"B1",411330,11
"B1",411331,2
"B1",411332,0
"B1",411333,0
"B1",411334,4
"B1",411335,3
"B1",411336,1
"B1",411337,6
"B1",411338,2
"B1",411339,0
"B1",411340,16
"B1",411341,2
"B1",411342,13
"B1",411343,4
"B1",411344,12
"B1",411345,12
"B1",411346,9
"B1",411347,4
"B1",411348,5
"B1",411349,14
"B1",411350,6
"B1",411351,5
"B1",411352,9
"B1",411353,1
"B1",411354,2
"B1",411355,11
"B1",411356,9
"B1",411357,3
"B1",411358,3
"B1",411359,0
"B1",411360,9
"B1",411361,11
"B1",411362,3
"B1",411363,0
"B1",411364,12
"B1",411365,3
"B1",411366,0
"B1",411367,3
"B1",411368,3
"B1",411369,8
"B1",411370,4
"B1",411371,15
"B1",411372,2
"B1",411373,6
"B1",411374,3
"B1",411375,0
"B1",411376,0
"B1",411377,4
"B1",411378,3
"B1",411379,4
"B1",411380,2
"B1",411381,0
"B1",411382,2
"B1",411383,12
"B1",411384,12
"B1",411385,1
"B1",411386,2
"B1",411387,1
"B1",411388,1
"B1",411389,0
"B1",411390,11
"B1",411391,1
"B1",411392,15
"B1",411393,16
"B1",411394,3
"B1",411395,4
"B1",411396,1
"B1",411397,2
"B1",411398,4
"B1",411399,4
"B1",411400,6
"B1",411401,3
"B1",411402,5
"B1",411403,2
"B1",411404,11
"B1",411405,8
"B1",411406,7
"B1",411407,5
"B1",411408,9
"B1",411409,3
"B1",411410,16
"B1",411411,1
"B1",411412,2
"B1",411413,2
"B1",411414,13
"B1",411415,4
"B1",411416,13
"B1",411417,5
"B1",411418,9
"B1",411419,3
"B1",411420,4
"B1",411421,8
"B1",411422,0
"B1",411423,2
"B1",411424,0
"B1",411425,5
"B1",411426,1
"B1",411427,16
"B1",411428,15
"B1",411429,3
"B1",411430,3
"B1",411431,5
"B1",411432,5
"B1",411433,4
"B1",411434,0
