"day","count","series","kind"
1.5,2,"unconstrained dating","line"
1.52,4,"unconstrained dating","line"
1.54,4,"unconstrained dating","line"
1.56,4,"unconstrained dating","line"
1.58,4,"unconstrained dating","line"
1.6,6,"unconstrained dating","line"
1.62,6,"unconstrained dating","line"
1.64,6,"unconstrained dating","line"
1.66,6,"unconstrained dating","line"
1.68,8,"unconstrained dating","line"
1.7,8,"unconstrained dating","line"
1.72,8,"unconstrained dating","line"
1.74,8,"unconstrained dating","line"
1.76,11,"unconstrained dating","line"
1.78,11,"unconstrained dating","line"
1.8,11,"unconstrained dating","line"
1.82,11,"unconstrained dating","line"
1.84,14,"unconstrained dating","line"
1.86,14,"unconstrained dating","line"
1.88,14,"unconstrained dating","line"
1.9,14,"unconstrained dating","line"
1.92,25,"unconstrained dating","line"
1.94,25,"unconstrained dating","line"
1.96,25,"unconstrained dating","line"
1.98,25,"unconstrained dating","line"
2,45,"unconstrained dating","line"
2.02,45,"unconstrained dating","line"
2.04,45,"unconstrained dating","line"
2.06,45,"unconstrained dating","line"
2.08,45,"unconstrained dating","line"
2.1,76,"unconstrained dating","line"
2.12,76,"unconstrained dating","line"
2.14,76,"unconstrained dating","line"
2.16,77,"unconstrained dating","line"
2.18,128,"unconstrained dating","line"
2.2,128,"unconstrained dating","line"
2.22,130,"unconstrained dating","line"
2.24,131,"unconstrained dating","line"
2.26,213,"unconstrained dating","line"
2.28,216,"unconstrained dating","line"
2.3,218,"unconstrained dating","line"
2.32,221,"unconstrained dating","line"
2.34,329,"unconstrained dating","line"
2.36,333,"unconstrained dating","line"
2.38,335,"unconstrained dating","line"
2.4,341,"unconstrained dating","line"
2.42,497,"unconstrained dating","line"
2.44,504,"unconstrained dating","line"
2.46,514,"unconstrained dating","line"
2.48,523,"unconstrained dating","line"
2.5,706,"unconstrained dating","line"
2.52,713,"unconstrained dating","line"
2.54,729,"unconstrained dating","line"
2.56,744,"unconstrained dating","line"
2.58,759,"unconstrained dating","line"
2.6,984,"unconstrained dating","line"
2.62,1006,"unconstrained dating","line"
2.64,1025,"unconstrained dating","line"
2.66,1043,"unconstrained dating","line"
2.68,1284,"unconstrained dating","line"
2.7,1312,"unconstrained dating","line"
2.72,1334,"unconstrained dating","line"
2.74,1352,"unconstrained dating","line"
2.76,1629,"unconstrained dating","line"
2.78,1671,"unconstrained dating","line"
2.8,1715,"unconstrained dating","line"
2.82,1744,"unconstrained dating","line"
2.84,2083,"unconstrained dating","line"
2.86,2141,"unconstrained dating","line"
2.88,2185,"unconstrained dating","line"
2.9,2220,"unconstrained dating","line"
2.92,2589,"unconstrained dating","line"
2.94,2654,"unconstrained dating","line"
2.96,2711,"unconstrained dating","line"
2.98,2759,"unconstrained dating","line"
3,3191,"unconstrained dating","line"
3.02,3261,"unconstrained dating","line"
3.04,3318,"unconstrained dating","line"
3.06,3372,"unconstrained dating","line"
3.08,3436,"unconstrained dating","line"
3.1,3917,"unconstrained dating","line"
3.12,4002,"unconstrained dating","line"
3.14,4065,"unconstrained dating","line"
3.16,4151,"unconstrained dating","line"
3.18,4692,"unconstrained dating","line"
3.2,4809,"unconstrained dating","line"
3.22,4925,"unconstrained dating","line"
3.24,5023,"unconstrained dating","line"
3.26,5595,"unconstrained dating","line"
3.28,5713,"unconstrained dating","line"
3.3,5863,"unconstrained dating","line"
3.32,5985,"unconstrained dating","line"
3.34,6603,"unconstrained dating","line"
3.36,6748,"unconstrained dating","line"
3.38,6912,"unconstrained dating","line"
3.4,7054,"unconstrained dating","line"
3.42,7684,"unconstrained dating","line"
3.44,7868,"unconstrained dating","line"
3.46,8062,"unconstrained dating","line"
3.48,8238,"unconstrained dating","line"
3.5,8884,"unconstrained dating","line"
3.52,9090,"unconstrained dating","line"
3.54,9310,"unconstrained dating","line"
3.56,9508,"unconstrained dating","line"
3.58,9676,"unconstrained dating","line"
3.6,10420,"unconstrained dating","line"
3.62,10653,"unconstrained dating","line"
3.64,10882,"unconstrained dating","line"
3.66,11095,"unconstrained dating","line"
3.68,11811,"unconstrained dating","line"
3.7,12040,"unconstrained dating","line"
3.72,12295,"unconstrained dating","line"
3.74,12532,"unconstrained dating","line"
3.76,13303,"unconstrained dating","line"
3.78,13556,"unconstrained dating","line"
3.8,13829,"unconstrained dating","line"
3.82,14087,"unconstrained dating","line"
3.84,14860,"unconstrained dating","line"
