"blastomere","bin","edits","days","day_mid","rate"
"A","[0,1]",23,1.5,0.5,15.3333333333333
"A","(1,2]",0,0,1.5,NA
"A","(2,3]",0,0,2.5,NA
"A","(3,4]",9,7.15293,3.5,1.2582256501881
"A","(4,5]",0,0,4.5,NA
"A","(5,6]",16,9.80544489999999,5.5,1.63174645956146
"A","(6,7]",3573,454.328203999993,6.5,7.86435877971612
"A","(7,8]",52465,5932.814138999,7.5,8.84318955065936
"A","(8,9]",163228,23319.2326327982,8.5,6.99971575267112
"A","(9,10]",286313,48253.4841779034,9.5,5.93351972148594
"A","(10,11]",422645,91484.1292668172,10.5,4.61987235804954
"A","(11,12]",893324,302571.11255948,11.5,2.95244312136503
"A","(12,13]",1052368,395791.344991847,12.5,2.65889593927749
"A","(13,14]",241223,82826.70637483,13.5,2.91238189417254
"B","[0,1]",19,1.5,0.5,12.6666666666667
"B","(1,2]",0,0,1.5,NA
"B","(2,3]",0,2.7964,2.5,0
"B","(3,4]",0,0,3.5,NA
"B","(4,5]",4,7.37144,4.5,0.542634817620438
"B","(5,6]",22,14.9536536,5.5,1.47121235976738
"B","(6,7]",2663,423.240391899998,6.5,6.29193255408668
"B","(7,8]",45154,5252.24267839993,7.5,8.59708942728365
"B","(8,9]",142760,18346.2123140004,8.5,7.78144270635397
"B","(9,10]",238408,34408.1834105968,9.5,6.92881682113379
"B","(10,11]",347008,70716.5536113065,10.5,4.90702646380831
"B","(11,12]",720264,234103.897720764,11.5,3.07668521119251
"B","(12,13]",693491,246412.093456939,12.5,2.81435456462769
"B","(13,14]",117657,38808.9884637,13.5,3.03169458049778
