architecture,day,rate
non_sequential_1x66,0.0000,8.759713
non_sequential_1x66,0.0338,8.720465
non_sequential_1x66,0.0677,8.681392
non_sequential_1x66,0.1015,8.642495
non_sequential_1x66,0.1353,8.603771
non_sequential_1x66,0.1692,8.565222
non_sequential_1x66,0.2030,8.526845
non_sequential_1x66,0.2368,8.488640
non_sequential_1x66,0.2707,8.450606
non_sequential_1x66,0.3045,8.412742
non_sequential_1x66,0.3383,8.375049
non_sequential_1x66,0.3722,8.337524
non_sequential_1x66,0.4060,8.300167
non_sequential_1x66,0.4398,8.262978
non_sequential_1x66,0.4737,8.225955
non_sequential_1x66,0.5075,8.189098
non_sequential_1x66,0.5414,8.152406
non_sequential_1x66,0.5752,8.115879
non_sequential_1x66,0.6090,8.079515
non_sequential_1x66,0.6429,8.043315
non_sequential_1x66,0.6767,8.007276
non_sequential_1x66,0.7105,7.971399
non_sequential_1x66,0.7444,7.935683
non_sequential_1x66,0.7782,7.900126
non_sequential_1x66,0.8120,7.864729
non_sequential_1x66,0.8459,7.829491
non_sequential_1x66,0.8797,7.794411
non_sequential_1x66,0.9135,7.759487
non_sequential_1x66,0.9474,7.724720
non_sequential_1x66,0.9812,7.690109
non_sequential_1x66,1.0150,7.655653
non_sequential_1x66,1.0489,7.621352
non_sequential_1x66,1.0827,7.587204
non_sequential_1x66,1.1165,7.553209
non_sequential_1x66,1.1504,7.519366
non_sequential_1x66,1.1842,7.485675
non_sequential_1x66,1.2180,7.452135
non_sequential_1x66,1.2519,7.418746
non_sequential_1x66,1.2857,7.385506
non_sequential_1x66,1.3195,7.352414
non_sequential_1x66,1.3534,7.319472
non_sequential_1x66,1.3872,7.286676
non_sequential_1x66,1.4211,7.254028
non_sequential_1x66,1.4549,7.221526
non_sequential_1x66,1.4887,7.189169
non_sequential_1x66,1.5226,7.156958
non_sequential_1x66,1.5564,7.124891
non_sequential_1x66,1.5902,7.092967
non_sequential_1x66,1.6241,7.061187
non_sequential_1x66,1.6579,7.029549
non_sequential_1x66,1.6917,6.998052
non_sequential_1x66,1.7256,6.966697
non_sequential_1x66,1.7594,6.935482
non_sequential_1x66,1.7932,6.904408
non_sequential_1x66,1.8271,6.873472
non_sequential_1x66,1.8609,6.842675
non_sequential_1x66,1.8947,6.812016
non_sequential_1x66,1.9286,6.781494
non_sequential_1x66,1.9624,6.751110
non_sequential_1x66,1.9962,6.720861
non_sequential_1x66,2.0301,6.690748
non_sequential_1x66,2.0639,6.660769
non_sequential_1x66,2.0977,6.630925
non_sequential_1x66,2.1316,6.601215
non_sequential_1x66,2.1654,6.571638
non_sequential_1x66,2.1992,6.542193
non_sequential_1x66,2.2331,6.512881
non_sequential_1x66,2.2669,6.483699
non_sequential_1x66,2.3008,6.454649
