"# per-cell founder-vote margin (votes_B1 - votes_B2) feeding the majority-vote assignment; side A=B1 (margin>0), B=B2 (margin<0), margin 0 = tie/no-founder (set aside)."
margin,n_cells,n_routed,n_set_aside,assigns_to
-9,720,720,0,B(B2)
-8,13660,13660,0,B(B2)
-7,55671,55671,0,B(B2)
-6,108848,108848,0,B(B2)
-5,136479,136461,18,B(B2)
-4,129180,129081,99,B(B2)
-3,100087,99834,253,B(B2)
-2,67619,67229,390,B(B2)
-1,42509,41831,678,B(B2)
0,13759,0,13759,set_aside
1,28707,28067,640,A(B1)
2,40485,40232,253,A(B1)
3,58208,58108,100,A(B1)
4,83080,83047,33,A(B1)
5,113500,113491,9,A(B1)
6,145522,145519,3,A(B1)
7,163550,163550,0,A(B1)
8,143882,143882,0,A(B1)
9,85501,85501,0,A(B1)
10,24734,24734,0,A(B1)
11,3718,3718,0,A(B1)
