celltype,germ_layer,confidence,n,pct,note
Definitive early erythroblasts (CD36-),BLOOD,clear,198023,11.29,
Hematopoietic stem cells (Cd34+),BLOOD,clear,15550,0.887,
Border-associated macrophages,BLOOD,clear,13511,0.77,
Primitive erythroid cells,BLOOD,clear,5762,0.329,
Megakaryocytes,BLOOD,clear,5225,0.298,
Kupffer cells,BLOOD,clear,4097,0.234,
Definitive erythroblasts (CD36+),BLOOD,clear,3031,0.173,
Hematopoietic stem cells (Mpo+),BLOOD,clear,1712,0.098,
Mast cells,BLOOD,clear,846,0.048,
Microglia,BLOOD,clear,659,0.038,
Osteoclasts,BLOOD,clear,331,0.019,
Monocytes,BLOOD,clear,222,0.013,
T cells,BLOOD,clear,146,0.008,
Monocytic myeloid-derived suppressor cells,BLOOD,clear,93,0.005,
B cells,BLOOD,clear,50,0.003,
Granulocytes,BLOOD,clear,37,0.002,
B cell progenitors,BLOOD,clear,6,0.0,
Conventional dendritic cells,BLOOD,clear,3,0.0,
PMN myeloid-derived suppressor cells,BLOOD,clear,2,0.0,
Hepatocytes,ENDODERM,clear,24322,1.387,
Lung progenitor cells,ENDODERM,clear,2698,0.154,
Midgut/Hindgut epithelial cells,ENDODERM,clear,1931,0.11,
Foregut epithelial cells,ENDODERM,clear,277,0.016,
Gut,ENDODERM,clear,272,0.016,
Pancreatic acinar cells,ENDODERM,clear,220,0.013,
Biliary epithelial cells,ENDODERM,clear,155,0.009,
Thyroid gland cells,ENDODERM,clear,18,0.001,
Thymic epithelial cells,ENDODERM,clear,14,0.001,
Parathyroid epithelial cells,ENDODERM,clear,13,0.001,
Pancreatic islets,ENDODERM,clear,1,0.0,
Fibroblasts,MESODERM,clear,178435,10.174,
Lateral plate and intermediate mesoderm,MESODERM,clear,64510,3.678,
Myoblasts,MESODERM,clear,53214,3.034,
Sclerotome,MESODERM,clear,50365,2.872,
Limb mesenchyme progenitors,MESODERM,clear,46827,2.67,
Early chondrocytes,MESODERM,judgement,33055,1.885,"axial=meso, cranial=neural crest; mostly sclerotome-derived"
Dermatome,MESODERM,clear,29053,1.656,
Chondrocytes (Atp1a2+),MESODERM,judgement,25660,1.463,"axial=meso, cranial=neural crest; mostly sclerotome-derived"
Endothelium,MESODERM,clear,15997,0.912,
Myofibroblasts,MESODERM,clear,14144,0.806,
Liver sinusoidal endothelial cells,MESODERM,clear,2558,0.146,
Brain capillary endothelial cells,MESODERM,clear,2395,0.137,
Metanephric mesenchyme,MESODERM,clear,2114,0.121,
Lymphatic vessel endothelial cells,MESODERM,clear,2016,0.115,
Pre-osteoblasts (Sp7+),MESODERM,clear,1277,0.073,
Ureteric bud,MESODERM,clear,973,0.055,
Endocardial cells,MESODERM,clear,838,0.048,
Nephron progenitors,MESODERM,clear,647,0.037,
Myotubes,MESODERM,clear,604,0.034,
Pericytes,MESODERM,clear,582,0.033,
Dermomyotome,MESODERM,clear,518,0.03,
First heart field,MESODERM,clear,442,0.025,
Arterial endothelial cells,MESODERM,clear,326,0.019,
Muscle progenitor cells,MESODERM,clear,302,0.017,
Brain pericytes,MESODERM,judgement,218,0.012,forebrain pericytes are neural-crest-derived
Adrenocortical cells,MESODERM,judgement,151,0.009,labeled under CNS; adrenal cortex is intermediate mesoderm
Mesodermal progenitors (Tbx6+),MESODERM,clear,46,0.003,
Glomerular endothelial cells,MESODERM,clear,24,0.001,
Proximal tubule cells,MESODERM,clear,13,0.001,
NMPs and spinal cord progenitors,MESODERM,judgement,8,0.0,neuromesodermal bipotent (neuro+meso)
Atrial cardiomyocytes,MESODERM,clear,8,0.0,
Chondrocytes (Otor+),MESODERM,clear,1,0.0,
Facial mesenchyme,NEURAL_CREST,judgement,45278,2.582,cranial neural-crest ectomesenchyme (vs mesoderm) — biggest call
Myelinating Schwann cells,NEURAL_CREST,clear,9586,0.547,
Neural crest (PNS neurons),NEURAL_CREST,clear,8272,0.472,
Neural crest (PNS glia),NEURAL_CREST,clear,6218,0.355,
Sympathetic neurons,NEURAL_CREST,clear,3478,0.198,
Otic sensory neurons,NEURAL_CREST,judgement,2035,0.116,"otic/epibranchial placode-derived, not crest"
Myelinating Schwann cells (Tgfb2+),NEURAL_CREST,clear,1790,0.102,
Parasympathetic neurons,NEURAL_CREST,clear,989,0.056,
Dorsal root ganglion neurons,NEURAL_CREST,clear,912,0.052,
Melanocyte cells,NEURAL_CREST,clear,443,0.025,
Enteric neurons,NEURAL_CREST,clear,435,0.025,
Satellite glial cells,NEURAL_CREST,clear,90,0.005,
Olfactory ensheathing cells,NEURAL_CREST,clear,3,0.0,
Glutamatergic neurons,NEUROECTODERM,clear,172740,9.849,
Telencephalon,NEUROECTODERM,clear,168955,9.633,
GABAergic cortical interneurons,NEUROECTODERM,clear,119703,6.825,
GABAergic neurons,NEUROECTODERM,clear,82483,4.703,
Deep-layer neurons,NEUROECTODERM,clear,49319,2.812,
Midbrain,NEUROECTODERM,clear,47100,2.685,
Cajal-Retzius cells,NEUROECTODERM,clear,29973,1.709,
Intermediate neuronal progenitors,NEUROECTODERM,clear,20176,1.15,
Thalamic neuronal precursors,NEUROECTODERM,clear,18751,1.069,
Spinal cord/r7/r8,NEUROECTODERM,clear,18486,1.054,
Hindbrain,NEUROECTODERM,clear,16648,0.949,
Cerebellar Purkinje cells,NEUROECTODERM,clear,15799,0.901,
Diencephalon,NEUROECTODERM,clear,8772,0.5,
Spinal cord dorsal progenitors,NEUROECTODERM,clear,6789,0.387,
Astrocytes,NEUROECTODERM,clear,5782,0.33,
Hypothalamus,NEUROECTODERM,clear,5554,0.317,
Naive retinal progenitor cells,NEUROECTODERM,clear,4827,0.275,
Dorsal telencephalon,NEUROECTODERM,clear,3516,0.2,
Choroid plexus,NEUROECTODERM,clear,1730,0.099,
Eye field,NEUROECTODERM,clear,1670,0.095,
Neural progenitor cells (Neurod1+),NEUROECTODERM,clear,1599,0.091,
Retinal ganglion cells,NEUROECTODERM,clear,1538,0.088,
Spinal cord motor neurons,NEUROECTODERM,clear,1537,0.088,
Floorplate and p3 domain,NEUROECTODERM,clear,1486,0.085,
Anterior floor plate,NEUROECTODERM,clear,1277,0.073,
Spinal cord ventral progenitors,NEUROECTODERM,clear,853,0.049,
Olfactory bulb cells,NEUROECTODERM,clear,827,0.047,
Cranial motor neurons,NEUROECTODERM,clear,576,0.033,
Retinal progenitor cells,NEUROECTODERM,clear,437,0.025,
Posterior roof plate,NEUROECTODERM,clear,333,0.019,
Midbrain-hindbrain boundary,NEUROECTODERM,clear,325,0.019,
Hypothalamus (Sim1+),NEUROECTODERM,clear,300,0.017,
Anterior roof plate,NEUROECTODERM,clear,228,0.013,
Oligodendrocyte progenitor cells,NEUROECTODERM,clear,203,0.012,
Retinal pigment cells,NEUROECTODERM,clear,184,0.01,
Cone precursor cells,NEUROECTODERM,clear,129,0.007,
Neurons (Slc17a8+),NEUROECTODERM,clear,99,0.006,
Neural progenitor cells (Ror1+),NEUROECTODERM,clear,82,0.005,
Amacrine/Horizontal precursor cells,NEUROECTODERM,clear,19,0.001,
PV-containing retinal ganglion cells,NEUROECTODERM,clear,10,0.001,
Suprachiasmatic nucleus,NEUROECTODERM,clear,6,0.0,
Upper-layer neurons,NEUROECTODERM,clear,4,0.0,
Ciliary margin cells,NEUROECTODERM,clear,4,0.0,
Corticofugal neurons,NEUROECTODERM,clear,3,0.0,
Primordial germ cells,OTHER,clear,175,0.01,germline
Pre-epidermal keratinocytes,SURFACE_ECTO,clear,25329,1.444,
Branchial arch epithelium,SURFACE_ECTO,judgement,12102,0.69,ectoderm cleft vs endoderm pouch — mixed
Granular keratinocytes,SURFACE_ECTO,clear,6713,0.383,
Olfactory epithelial cells,SURFACE_ECTO,judgement,4934,0.281,labeled under Mesoderm; olfactory placode is surface ectoderm
Olfactory sensory neurons,SURFACE_ECTO,judgement,4451,0.254,"olfactory placode (neurogenic surface ectoderm), not CNS"
Otic epithelial cells,SURFACE_ECTO,clear,2779,0.158,
Pituitary/Pineal gland progenitors,SURFACE_ECTO,judgement,155,0.009,adenohypophysis=oral placode; pineal=neuroectoderm
Pituitary gland cells,SURFACE_ECTO,judgement,92,0.005,adenohypophysis=oral placode; pineal=neuroectoderm
Placodal area,SURFACE_ECTO,clear,79,0.005,
Lens epithelial cells,SURFACE_ECTO,clear,60,0.003,
Basal keratinocytes,SURFACE_ECTO,clear,49,0.003,
Apical ectodermal ridge,SURFACE_ECTO,clear,44,0.003,
Amniotic ectoderm,SURFACE_ECTO,clear,13,0.001,
Cochlear hair cells,SURFACE_ECTO,judgement,10,0.001,otic placode derivative
Dental epithelial cells,SURFACE_ECTO,clear,1,0.0,
