celltype,germ_layer,status,n,literature,tree_pred,pct_pred
Olfactory bulb cells,,excluded,727,NEUROECTODERM,SURFACE_ECTO,53
Cranial motor neurons,,excluded,510,NEUROECTODERM,NEURAL_CREST,38
Enteric neurons,,excluded,337,NEURAL_CREST,SURFACE_ECTO,33
Posterior roof plate,,excluded,305,NEUROECTODERM,NEURAL_CREST,52
Primordial germ cells,,excluded,151,OTHER,SURFACE_ECTO,28
Pituitary/Pineal gland progenitors,,excluded,134,SURFACE_ECTO,NEUROECTODERM,35
Placodal area,,excluded,63,SURFACE_ECTO,MESODERM,51
Brain pericytes,,excluded,41,MESODERM,NEUROECTODERM,32
Thyroid gland cells,,excluded,17,ENDODERM,NEUROECTODERM,24
Parathyroid epithelial cells,,excluded,11,ENDODERM,MESODERM,55
PV-containing retinal ganglion cells,,excluded,9,NEUROECTODERM,NEURAL_CREST,44
Amniotic ectoderm,,excluded,8,SURFACE_ECTO,NEUROECTODERM,38
NMPs and spinal cord progenitors,,excluded,7,MESODERM,NEURAL_CREST,43
Olfactory ensheathing cells,,excluded,3,NEURAL_CREST,NEUROECTODERM,33
Chondrocytes (Otor+),,excluded,1,MESODERM,BLOOD,100
Pancreatic islets,,excluded,1,ENDODERM,NEURAL_CREST,100
Definitive early erythroblasts (CD36-),BLOOD,data-backed,118642,BLOOD,BLOOD,91
Hematopoietic stem cells (Cd34+),BLOOD,data-backed,12933,BLOOD,BLOOD,81
Border-associated macrophages,BLOOD,data-backed,9464,BLOOD,BLOOD,84
Megakaryocytes,BLOOD,data-backed,4178,BLOOD,BLOOD,84
Kupffer cells,BLOOD,data-backed,2703,BLOOD,BLOOD,85
Hematopoietic stem cells (Mpo+),BLOOD,data-backed,1398,BLOOD,BLOOD,94
Primitive erythroid cells,BLOOD,data-backed,945,BLOOD,BLOOD,36
Mast cells,BLOOD,data-backed,729,BLOOD,BLOOD,89
Microglia,BLOOD,data-backed,517,BLOOD,BLOOD,86
Definitive erythroblasts (CD36+),BLOOD,data-backed,226,BLOOD,BLOOD,57
Monocytes,BLOOD,data-backed,190,BLOOD,BLOOD,95
Osteoclasts,BLOOD,data-backed,156,BLOOD,BLOOD,73
T cells,BLOOD,data-backed,111,BLOOD,BLOOD,85
Monocytic myeloid-derived suppressor cells,BLOOD,data-backed,59,BLOOD,BLOOD,90
B cells,BLOOD,data-backed,47,BLOOD,BLOOD,96
Granulocytes,BLOOD,data-backed,29,BLOOD,BLOOD,100
B cell progenitors,BLOOD,data-backed,5,BLOOD,BLOOD,100
Conventional dendritic cells,BLOOD,data-backed,1,BLOOD,BLOOD,100
PMN myeloid-derived suppressor cells,BLOOD,data-backed,1,BLOOD,BLOOD,100
Hepatocytes,ENDODERM,data-backed,19646,ENDODERM,ENDODERM,52
Lung progenitor cells,ENDODERM,data-backed,2133,ENDODERM,ENDODERM,44
Midgut/Hindgut epithelial cells,ENDODERM,data-backed,1533,ENDODERM,ENDODERM,41
