"day","cells_lo","cells_hi","basis"
0.5,1,1,"zygote (Y. Kojima et al. & Cao et al. 2019)"
2,4,4,"~4-cell (cleavage) (Y. Kojima et al. & Cao et al. 2019, )"
2.5,8,16,"8-16 cell (cleavage) (Y. Kojima et al. & Cao et al. 2019, compiled via collaborator (CX))"
3.5,32,32,"32-cell morula (Y. Kojima et al. & Cao et al. 2019)"
4,64,64,"64-cell (Y. Kojima et al. & Cao et al. 2019)"
5.5,120,120,"egg-cylinder epiblast (Y. Kojima et al. & Cao et al. 2019)"
6,250,250,"epiblast E6.0 (Y. Kojima et al. & Cao et al. 2019)"
6.5,660,660,"gastrulation epiblast ~660 (Y. Kojima et al. & Cao et al. 2019)"
7,4500,4500,"epiblast E7.0 (Y. Kojima et al. & Cao et al. 2019)"
7.5,15000,15000,"post-gastrulation epiblast + derivatives (Y. Kojima et al. & Cao et al. 2019)"
8,60000,90000,"E8.0 (Y. Kojima et al. & Cao et al. 2019)"
9.5,200000,200000,"E9.5 (Y. Kojima et al. & Cao et al. 2019)"
10.5,1100000,1100000,"E10.5 (Y. Kojima et al. & Cao et al. 2019)"
11.5,2600000,2600000,"E11.5 (Y. Kojima et al. & Cao et al. 2019)"
12.5,6000000,6000000,"E12.5 (Y. Kojima et al. & Cao et al. 2019)"
13.5,13000000,13000000,"E13.5 harvest (Y. Kojima et al. & Cao et al. 2019)"
