chr	start	end	strand	gene_ID	gene_type	gene_short_name
chr1	3143476	3144545	+	ENSMUSG00000102693	TEC	4933401J01Rik
chr1	3172239	3172348	+	ENSMUSG00000064842	snRNA	Gm26206
chr1	3276124	3741721	-	ENSMUSG00000051951	protein_coding	Xkr4
chr1	3322980	3323459	+	ENSMUSG00000102851	processed_pseudogene	Gm18956
chr1	3435954	3438772	-	ENSMUSG00000103377	TEC	Gm37180
chr1	3445779	3448011	-	ENSMUSG00000104017	TEC	Gm37363
chr1	3535200	3537508	-	ENSMUSG00000103025	TEC	Gm37686
chr1	3536794	3583776	+	ENSMUSG00000089699	lncRNA	Gm1992
chr1	3582674	3584730	-	ENSMUSG00000103201	TEC	Gm37329
chr1	3602018	3602943	+	ENSMUSG00000103147	processed_pseudogene	Gm7341
chr1	3663115	3666126	-	ENSMUSG00000103161	TEC	Gm38148
chr1	3717532	3729127	-	ENSMUSG00000102331	lncRNA	Gm19938
chr1	3750378	3752011	+	ENSMUSG00000102348	TEC	Gm10568
chr1	3822233	3824583	+	ENSMUSG00000102592	TEC	Gm38385
chr1	3854099	3854156	-	ENSMUSG00000088333	snRNA	Gm27396
chr1	3943429	4018627	+	ENSMUSG00000142494	lncRNA	ENSMUSG00000142494
chr1	3975962	4056438	-	ENSMUSG00000102343	lncRNA	Gm37381
chr1	4023806	4026747	-	ENSMUSG00000133908	lncRNA	ENSMUSG00000133908
chr1	4069780	4479464	-	ENSMUSG00000025900	protein_coding	Rp1
chr1	4326457	4330742	-	ENSMUSG00000102948	processed_pseudogene	Gm6101
chr1	4433569	4435052	-	ENSMUSG00000104123	TEC	Gm37483
chr1	4437887	4482971	-	ENSMUSG00000135717	lncRNA	ENSMUSG00000135717
chr1	4502439	4503914	-	ENSMUSG00000139157	lncRNA	ENSMUSG00000139157
chr1	4561154	4567577	-	ENSMUSG00000025902	protein_coding	Sox17
chr1	4566774	4569786	+	ENSMUSG00000104238	lncRNA	Gm37587
chr1	4593128	4596960	+	ENSMUSG00000102269	processed_pseudogene	Gm7357
chr1	4599240	4599346	+	ENSMUSG00000118917	snRNA	Gm22307
chr1	4605060	4605509	-	ENSMUSG00000103003	processed_pseudogene	Gm38076
chr1	4653335	4687803	-	ENSMUSG00000104328	lncRNA	Gm37323
chr1	4679170	4688044	+	ENSMUSG00000131850	lncRNA	ENSMUSG00000131850
chr1	4680694	4681629	+	ENSMUSG00000102735	transcribed_processed_pseudogene	Gm7369
chr1	4758157	4759626	-	ENSMUSG00000098104	processed_pseudogene	Gm6085
chr1	4762442	4763647	-	ENSMUSG00000102175	processed_pseudogene	Gm6119
chr1	4792576	4817539	+	ENSMUSG00000135930	lncRNA	ENSMUSG00000135930
chr1	4793500	4793602	-	ENSMUSG00002075947	snRNA	Gm56275
chr1	4805269	4805899	-	ENSMUSG00000103265	processed_pseudogene	Gm2053
chr1	4841354	4842422	+	ENSMUSG00000103922	processed_pseudogene	Gm6123
chr1	4843429	4855962	-	ENSMUSG00000033845	protein_coding	Mrpl15
chr1	4848286	4849435	-	ENSMUSG00000102275	TEC	Gm37144
chr1	4855979	4874316	+	ENSMUSG00000120403	lncRNA	A930006A01Rik
chr1	4877487	4877953	-	ENSMUSG00000136002	lncRNA	ENSMUSG00000136002
chr1	4878011	4918633	+	ENSMUSG00000025903	protein_coding	Lypla1
chr1	4878115	4956993	+	ENSMUSG00000104217	protein_coding	Gm37988
chr1	4927487	4927854	-	ENSMUSG00000137875	lncRNA	ENSMUSG00000137875
chr1	4928037	4968132	+	ENSMUSG00000033813	protein_coding	Tcea1
chr1	4950272	4950874	-	ENSMUSG00000062588	processed_pseudogene	Gm6104
chr1	4975974	4977084	-	ENSMUSG00000103280	TEC	Gm37277
chr1	4979799	5140508	-	ENSMUSG00000002459	protein_coding	Rgs20
chr1	4997251	4997522	-	ENSMUSG00000091305	processed_pseudogene	Gm17100
chr1	5008799	5010933	-	ENSMUSG00000102653	TEC	Gm37079
chr1	5041080	5047043	+	ENSMUSG00000085623	lncRNA	Gm16041
chr1	5133283	5134870	+	ENSMUSG00000091665	processed_pseudogene	Gm17101
chr1	5140241	5232752	+	ENSMUSG00000033793	protein_coding	Atp6v1h
chr1	5204974	5213367	-	ENSMUSG00000143188	lncRNA	ENSMUSG00000143188
chr1	5346329	5347560	-	ENSMUSG00000104352	processed_pseudogene	Gm7182
chr1	5357817	5417356	+	ENSMUSG00000143351	lncRNA	ENSMUSG00000143351
chr1	5377962	5380240	+	ENSMUSG00000104046	TEC	Gm37567
chr1	5473770	5475801	+	ENSMUSG00000102907	TEC	Gm38264
chr1	5658689	5676354	+	ENSMUSG00000025905	protein_coding	Oprk1
chr1	5688060	5688453	-	ENSMUSG00000103936	processed_pseudogene	Gm36965
chr1	5714868	5714968	-	ENSMUSG00002076544	miRNA	Gm56304
chr1	5913097	5914895	-	ENSMUSG00000103519	TEC	Gm37429
chr1	5983926	5987617	-	ENSMUSG00000033774	protein_coding	Npbwr1
